tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
4 dias atrás,4,,True,9,287,25,0,0,2145,0,0,0,0,1,0,0
2 semanas atrás,4,,True,4,18,0,0,0,190,0,0,0,0,0,0,0
2 semanas atrás,5,,True,156,96,20,0,0,1248,1,0,0,0,5,11,0
um mês atrás,5,Excelente,True,6,14,2,0,0,20,0,0,0,0,98,1,0
um mês atrás,5,Lugar top e elegante. Comida nota 10,True,47,23,2,0,0,839,0,0,0,0,0,5,0
2 meses atrás,4,,True,46,72,9,0,0,469,0,0,0,0,44,1,0
2 meses atrás,5,Pizza muito boa é ótimo atendimento!,True,35,6,34,0,0,228,2,0,0,0,1,0,0
2 meses atrás,3,"Comida boa mas sem nada excepcional. Preços elevados, principalmente nas sobremesas. Entretenimento para crianças ajudaria...",True,51,14,28,0,0,1265,18,0,1,0,17,66,0
3 meses atrás,1,"O restaurante tem muitas opções de pratos, mas as carnes sempre estão cruas, comigo aconteceu três vezes. Não é uma carne mal-passada, é crua mesmo. Uma pena, pois o ambiente é legal. O atendimento é bem mais ou menos.",True,2,12,0,0,0,36,0,0,0,0,0,0,0
3 meses atrás,5,"Ótimo atendimento, todos sempre mto simpáticos e atenciosos! Às terças feiras servem comida árabe maravilhosa!",True,76,81,1,0,0,1464,0,0,0,0,2,6,0
3 meses atrás,5,"Local muito bonito, pizza sensacional ….. Tudo isso vale muito , as vezes o lugar é legal mas a comida não e vice versa, mas aqui está tudo junto !!! Super recomendo  !!!",True,9,3,0,0,0,55,0,0,0,0,3,0,0
3 meses atrás,5,"Pizzaria deliciosa. E mesmo com bastante movimento, o ambiente não fica barulhento  e vc consegue conversar tranquilamente . Serviço do atencioso e simpático Charles perfeito, ficamos encantados. Parabéns para toda equipe !",True,39,2,49,1,1,51,5,0,0,0,0,0,0
4 meses atrás,4,"Pizzaria aconchegante e muito gostosa. Achei o ambiente bem adorável e também bonito. Pedi pizzas de palmito cogumelos e peito de peru, e também umas entradas. Dava pra ver que a pizza era muito gostosa e com ingredientes de alta qualidade, porém a massa era muito fina e tinha passado um pouco do ponto de cozimento, porém no geral uma boa pizzaria.",True,100,7,177,7,1,528,0,0,0,0,0,0,0
4 meses atrás,5,,True,52,5,92,18,0,920,0,0,0,0,0,4,0
