tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
2 semanas atrás,5,"Fui assistir ao show do Gustavo Segré e adorei o show e o lugar. Ambiente climatizado, serviço ótimo, boa comida e preço justo para o que oferece. Valeu muito e me diverti bastante.",True,226,3,81,1,0,187,0,0,0,0,1,15,0
um mês atrás,5,Maravilhoso 💘,True,28,7,3,0,0,350,0,0,0,0,0,0,0
um mês atrás,5,"Ambiente aconchegante, mas claro, arejado, atendentes atenciosos. Comida muito boa - tem até cardápio sem gluten. A cereja do bolo, nessa noite,  foi a apresentação da Rosa Avila  excelente como sempre, que ao cantar músicas italianas e nos anima e alegra muito.",True,392,10,394,13,3,3947,0,0,0,0,5,76,0
um mês atrás,5,Comida muito saborosa. Ambiente gostoso…,True,212,48,365,57,5,2145,0,0,0,0,0,1,0
um mês atrás,5,"Adoro sempre astral, comida deliciosa e lugar à vontade, hoje tem música ao vivo Muito bom",False,1,0,0,0,0,5,0,0,0,0,0,0,1
um mês atrás,5,"Comida excelente, ótimas opções, ambiente familiar e muito gostoso. Almoço com ótimo custo x benefício. Muito atenciosos. Volte quantas vezes quiser!",False,10,0,0,0,0,14,0,0,0,0,1,0,1
um mês atrás,5,"Melhor ravioli e manjar com calda de tamara que já comi,  eatendimento ótimo!! Nota 10/10",False,1,0,0,0,0,5,0,0,0,0,0,0,1
um mês atrás,5,"Melhor restaurante de comida italiana que já fui!! Uma delícia, atendimento impecável e preço justo!",False,3,0,0,0,0,9,0,0,0,0,0,0,0
2 meses atrás,3,"Restsurante antigo e famosinho, que eu não conhecia. Não bateu com minhas expectativas... Serviço simpático, em dia de casa cheia. Ambiente simples e agradável. Comida boa, sem nada de mais. Drinks sem graça.",True,21,0,100,1,0,92,0,0,0,0,0,0,0
2 meses atrás,4,null,True,10,70,288,0,0,305,0,0,0,0,6,2,0
3 meses atrás,2,"Fui pela primeira vez - e última- a esse local. Na entrada, precisei falar 4 vezes o meu nome que estava na reserva, aí o senhor que fica na porta chamado Marcos nos colocou numa mesa no fundo, quase embaixo da escada, falando que estava tudo reservado. Mentira. Chegou gente depois e ele colocou numa mesa de 2, do lado do palco. Ah: antes,  ele nos ofereceu uma mesa quase na rua. Vi que tinha gente que já era conhecida do local. A idade média em torno dos 70 anos. Mesas reservadas, e eu cheguei às 20h quando estava tudo vazio. Ouvi conversas ao lado de todos os tipos,  incluindo preconceituosas. Paguei antecipadamente um couvert caríssimo para ver um senhor argentino cantar, e não vou enxergar nada devido ao local ""fundo do poço"" que o tiozinho da porta Marcos nos colocou. Me pareceu um clube da terceira idade. O local deveria avisar, pq só os ""conhecidos "" sentam em lugares privilegiados. Se fosse pra ter privilégio só pra gente conhecida, montem um clube!  Assim os outros não perdem tempo.  O lugar encheu e a idosa na mesa ao lado pediu para desligar o ar condicionado. Ou seja, só ela existe em todo local. Ficamos todos no abafado.  Enfim, nem consegui comer nada pra saber se a comida é boa, mas meu conselho é  que, se vc não é amigo dos idosos pra ter uma mesa decente, não vá.",False,15,0,2,0,0,22,0,0,0,0,0,0,0
4 meses atrás,4,null,False,3,1,0,0,0,12,0,0,0,0,0,0,1
4 meses atrás,5,null,True,73,192,21,0,0,74,2,0,0,0,0,0,0
4 meses atrás,5,Uma experiência maravilhosa.  Um atendimento espetacular.  Eu e minha esposa adoramos o  ambiente a refeição. O garçom que nos atendeu foi excelente o Igor.  Recomendo.,True,29,32,0,0,0,135,0,0,0,0,0,0,0
4 meses atrás,1,"Comida ruim, ambiente precisa de uma pintura e valet péssimo",False,3,0,0,0,0,6,0,0,0,0,0,0,1
5 meses atrás,5,"Local pequeno e aconchegante, onde fomos bem atendidos e comemos muito bem. Vale a experiência",True,213,76,101,7,0,2757,0,0,1,0,40,2,0
5 meses atrás,5,null,False,4,3,0,0,0,27,0,0,0,0,0,0,1
5 meses atrás,5,Jantar maravilhoso.,True,196,191,147,21,3,2348,0,0,0,0,1,2,0
5 meses atrás,4,null,True,15,25,11,0,0,145,0,0,0,0,11,1,0
5 meses atrás,5,Super bem atendido!,True,24,12,10,0,0,60,1,0,0,0,0,0,0
5 meses atrás,5,"Un lugar de estilo Italiano en el medio de San Pablo. Espectacular la comida, los gnocchi de mandioquinha con carne seca una delicia y tambien el Carpaccio de entrada, la atención perfecta todo el tiempo atentos a los detalles y una carta de vinos internacionales. Fuimos un dia que estaba el espectaculo de Gustavo Segre que cerro una velada excelente.",True,99,257,25,1,0,3854,1,0,0,0,0,7,0
5 meses atrás,4,"Comida boa, bem servido e - especialmente no São Paulo Restaurant Week - num bom preço :)",True,63,11,125,3,0,539,0,0,1,0,0,0,0
5 meses atrás,3,"Agradável, atendimento ágil, etapas do menu servidos rapidamente. Ponte negativo apenas para a comida em si, sabor leve e moderado, não causa um “UAL”",True,14,1,12,0,0,90,0,0,0,0,0,0,0
6 meses atrás,5,Restaurante melhor do mundo. Comida super bem servida. Recomendo muito .,False,2,0,0,0,0,6,0,0,0,0,0,0,0
6 meses atrás,5,Ótima refeição. Gostei muito do risoto de carne seca com couve.,False,1,0,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,2,1,0,0,9,0,0,0,0,0,0,1
6 meses atrás,5,null,True,15,1,6,0,0,27,0,0,0,0,0,0,1
6 meses atrás,5,"Vou com frequência ao Quattrino. A comida é saborosa e saudável! Hoje, eu e meu marido, provamos um prato novo, o Raviolli com Queijo da Canastra, que achamos delicioso  e para sobremesa, recomendo provarem o Manjar de côco fresco com calda de damasco: Divino! Vale conferir!",False,3,0,0,0,0,3,0,0,0,0,0,0,1
