tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
4 semanas atrás,5,,True,2,4,1,0,0,19,0,0,0,0,0,0,1
um mês atrás,5,"As a Jamaican, I was visiting São Paulo and had to try the only Jamaican restaurant in the country at the time. Walked in not knowing any Portuguese and the owner realized and greeted me in English. Andre the owner is really passionate about Jamaican culture and cuisine, and is really making an attempt to expose the culture to Brazil. I ordered the Jerk chicken with rice and peas, very flavorful with a bold taste of pimento. Highly recommend this restaurant for anyone interested in Jamaican cuisine",True,65,8,27,1,0,187,3,0,0,0,1,0,0
um mês atrás,5,Muito gostoso,True,5,0,0,0,0,58,0,0,0,0,0,0,1
um mês atrás,5,,True,3,95,9,0,0,291,0,0,0,0,0,0,0
um mês atrás,4,"ótimo lugar, comida gostosa, o ambiente é agradável e é impressionante como nosso cultura tem semelhança com outros lugares de ascendência negra",True,13,2,11,1,0,60,0,0,0,0,0,0,0
um mês atrás,5,Jerky's Cozinha Caribenha • República  Restaurante Caribenho especializada em Jerk (churrasco jamaicano).  Recomendo a experiência!,True,323,10,4741,718,96,423,0,0,3,0,0,2,0
um mês atrás,5,,True,10,5,0,0,0,39,1,0,0,0,0,0,0
um mês atrás,5,,True,8,30,0,0,0,174,0,0,0,0,0,0,0
um mês atrás,5,,False,5,4,0,0,0,9,0,0,0,0,0,0,1
um mês atrás,5,Delicious jerk chicken with friendly English speaking service.,True,1207,1,6766,11,0,2015,28,0,9,0,0,0,0
um mês atrás,2,"O ambiente é legal e bem cultural, mas a comida é bem normal e com preço bem distante do valor agregado, que deixa a desejar. Fomos eu e meu marido, pedimos a costela para dois. A atendente não sabia informar a quantidade para nós sentirmos seguros da escolha. Arriscamos. Quando chegou, ok, era pouca costela mas estavam (por sorte) carnudas. As porções de acompanhamento, que foram arroz caribenho e a salada de repolho são bem normais, aparentando até arroz e feijão reaquecidos. As quantidades dos acompanhamentos? A de qualquer PF de São Paulo, para apenas uma pessoa.  Resumo: em custo benefício daria nota 2 (de 0 a 10). Nada especialmente suculento ou sensacional. A conta para dois deu 184 reais com prato e duas limonadas. Com 92 reais já comeríamos e já comemos muuuuito melhor pela cidade, na própria região inclusive.  Não voltaremos.",False,12,0,1,0,0,15,0,0,0,0,0,0,0
um mês atrás,5,Quero morar na Jamaica! Simplesmente uma explosão de sabores mantida por uma comunidade gentil e competente. Venham! E domingo até as 20:00!,False,3,0,1,0,0,9,0,0,0,0,0,0,0
um mês atrás,5,"O ambiente é muito lindo e eu amei a experiência de provar comida caribenha. A dona, Michelle, foi muito simpática e nos indicou o frango que veio taaaao bem temperado, a opção de 3 pessoas nos serviu bem. A batata frita tem um toque de canela que achei sensacional. Também provei o drink Montego Bay e foi incrível. Mas precisa se atentar pois a cozinha fecha às 20:30, tive que voltar no dia seguinte.",True,20,2,26,0,0,177,1,0,0,0,0,0,0
2 meses atrás,5,,True,4,26,0,0,0,95,0,0,0,0,0,1,0
2 meses atrás,5,"After about 4 times eating here, I had to write a review. I've eaten Jamaican food in Miami Florida and also on the island of Jamaica and I believe the jerk chicken here is the best. The jerk fries are seasoned well and the coleslaw has a nice sour taste to  compliment the chicken. The rum punch is good, but a little too sweet for me. The Montego Bay drink is just right.  A few things to know:  - After ordering, the food takes awhile to come. I'm guessing everything is made to order. For me, that's fine because the restaurant shouldn't sacrifice quality.  - You can order 1/4 chicken or 1/2 chicken. Maybe in the future they can add the option to order 1/3 chicken because a quarter chicken is not enough (for me), but half a chicken is too much.  Either way, I would recommend this restaurant to friends and family.",True,74,9,16,0,0,21,0,0,0,0,0,4,0
3 meses atrás,5,"Traveled from Copacabana to são paulo to try their food, and it was worth the drive. The jerk sauce was the star of the show with  the ribs, which were a close second, but if you don't like spicy, avoid the sauce.  Real caribbean food 😋.  Made me smile for the first time in 6 months with a little taste of home. I'm sorry I didn't take more pictures that one did not do it justice. And the 1/2 servings are crazy so be careful or you will be taking home alot of food",True,23,8,24,1,0,136,0,0,1,0,0,2,0
