tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
1,5,ambiente agradável atendimento sensacional experiência fantástica dmacarons,,1,2,0,0,0,3,0,0,0,0,0,0,1
1,5,null,,2,2,0,0,0,30,0,0,0,0,0,0,1
1,5,tudo bom macarons carro chefe gostosos comi além disso ambiente graça serviço bom brunch delícia mudou localização resto continua impecável,,20,14,11,0,0,467,1,0,0,0,0,0,0
14,5,null,,30,4,1,0,1,9,0,0,0,0,0,0,0
21,5,comida saborosa atendimento impecável muita educação loja brinquedos babatchu remete infância,,33,65,10,0,0,84,0,0,0,0,0,1,0
21,5,loja maravilhosa,,13,14,3,0,0,14,0,0,0,0,0,0,0
21,5,null,,2,40,0,0,0,145,0,0,0,0,0,0,0
30,5,null,,9,20,3,0,0,80,0,0,0,0,0,1,0
30,5,null,,14,111,8,0,0,464,0,0,0,0,0,0,0
30,5,null,,6,16,3,0,0,30,0,0,0,0,0,1,0
60,5,chique zinho fofo pessoas super educadas prestativas,,8,16,6,0,0,6,1,0,0,0,0,2,0
60,5,adoro lugar macarons tudo limpo gostoso sempre consumi lá cliente fiel,,13,1,13,0,0,19,0,0,0,0,0,0,1
60,5,lugar maravilhoso atendimento impecável sempre,,18,4,13,0,0,28,0,0,4,0,0,0,0
90,5,null,,16,7,1,0,0,263,0,0,0,0,1,0,0
90,5,final tarde tomei alguns cafés amigas comemos lanches super gostosos macarons show parte gostei baunilha morango chandon melhores paulo dúvidas atendimento melhores atendente bernardo deu várias dicas sobre pedir extremamente educado cordial certeza irei voltar vezes recomendo,,1,0,0,0,0,8,0,0,0,0,0,0,1
90,5,null,,3,6,1,0,0,12,0,0,0,0,0,0,1
120,5,imprevisto entrega entrei contato loja atendeu extremamente solicito compreensivo prontamente demonstrouse disposto ajudar solucionar problema assim fez fã produtos agora empresa capacidade resolução conflito proporcionar melhor experiência possível diante adversidades parabéns conduta obrigada,,3,0,0,0,0,2,0,0,0,0,0,0,0
120,5,null,,37,24,29,0,0,731,4,0,0,0,0,0,0
120,4,null,,62,226,469,5,0,1422,7,0,5,0,3,0,0
150,4,acho potencial comida boa pouco caro jardim bonito rua silenciosa agradável sugestões música bem suave jardim diminuir barulho cozinha geladeiras fica barulhento lá dentro melhorar velocidade atendimento conhecimento garçonetes sobre cardápio cardápio confuso incompleto faltaram bebidas disponíveis 3 folhas diferentes plastificadas passaram aspecto amador categorização ordem contraste hierarquia layout cardápio confusos,,15,90,4,0,0,729,3,0,0,0,2,0,0
150,4,lugar jardim lindo super agradável parece frança pedimos croissant recheado bem gostoso chegou rápido realmente pouco atendentes pareciam ter pouca experiência podem melhorar ponto vale pena visita certeza voltarei vezes,,3,9,1,0,0,30,0,0,0,0,0,0,1
150,5,null,,96,76,28,1,0,716,0,0,0,0,0,4,0
150,5,pena q mudando lugar canele incrível,,33,88,120,2,0,476,8,0,0,0,14,1,0
150,1,péssima experiência estabelecimento participa brunch weekend informação serve brunch sexta chegar simplesmente informaram servem dar qualquer alternativa cliente desloca 20km conhecer casa ótimo exemplo tratar cliente parabéns sarcasmo,,37,2,0,0,0,219,0,0,0,0,0,0,0
150,5,null,,8,19,0,0,0,52,0,0,0,0,0,0,0
150,5,maravilhoso brunch,,123,86,32,0,0,418,0,0,0,0,1,3,0
150,5,lugar surpreendente ambiente aconchegante tarde ensolarada evento brunch simplesmente maravilhoso acabei sair local precisava deixar avaliação comida divina tanto doces quanto salgados mudaria nada desse cardápio serviço excelente grande diferencial casa atenciosos simpaticos demonstram cuidado cliente recomendo voltaria toda semana,,4,0,2,0,0,24,1,0,0,0,0,0,0
180,5,variadas opções gosto bom dar contexto gosto macarons lá acompanhando gosta provei vários maracujá pistache chamaram atenção lugar serve lanches comi visita vale voltar brunch,,131,13,156,1,0,1911,22,0,11,0,4,9,0
210,4,lugar lindo macarons gostosos porém achei atendimento ruim começando whatsapp além demora responder pessoa atendimento dificuldade entender pergunta simples fiz encomenda recebi mensagem dizendo pronta cheguei loja pronta montaram hora correndo qualquer jeito primeira visita espero próxima melhor,,13,4,4,0,0,39,0,0,0,0,0,0,0
210,1,parece funciona aparece aberto maps fechado vim local parece abandonado,,3,0,0,0,0,0,0,0,0,0,0,0,1
270,5,simplesmente maravilhoso,,6,3,1,0,0,6,0,0,0,0,0,0,1
330,3,lugar maravilhoso última vez gostei atendimento apenas atendente amiga levei conhecer casa fiz alto elogios lugar ficamos esperando sermos atendidas deixou envergonhada pois segundo mesma havia falado espero próxima vez levála casa atendimento ágil,,167,68,250,0,3,86,1,0,1,0,1,0,0
330,5,null,,14,20,0,0,0,92,0,1,0,0,1,0,0
365,4,gostei bastante lugar bom pra lanchinho,,16,6,11,1,0,162,0,0,0,0,0,0,0
365,5,bom valor pouco elevado totalmente vale pena recomendo brunch comprar uns docinhos viagem receber visita dar presente embalagens bem legais muita opção,,93,74,7,0,0,483,1,0,0,0,0,4,0
365,5,lugar lindo amei atendimento,,30,5,16,2,0,36,2,0,0,0,0,0,0
365,4,null,,4,95,0,0,0,11,3,0,4,0,0,0,0
365,5,local graça tudo delicioso funcionárias gentis,,204,4,190,0,0,349,0,0,0,0,0,2,0
365,5,null,,27,12,8,0,0,76,0,0,0,0,0,1,0
