tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
7,5,virei cliente fiel atendimento ágil atenciosos cupcakes melhores comi cobertura generosa massa fofinha porção ideal enjoativo bom 3,,8,1,0,0,0,27,0,0,0,0,0,0,1
14,5,bolo red velvet simplesmente delicioso,,3,0,3,0,0,16,0,0,0,0,0,0,1
30,5,ótimo atendimento sabor bolo simplesmente maravilhoso amei certeza farei novos pedidos,,3,0,3,0,0,18,0,0,1,0,0,0,0
30,5,ótimo cupcake lindo saboroso fez sucesso,,1,0,0,0,0,3,0,0,0,0,0,0,1
30,5,terceira vez excelente atendimento cupcakeito eventos oficiais south african tourism dani sempre excelente atendimento cliente prestação serviço convidados sempre elogiam cupcakes acham incríveis personalização feita obrigada carinho atenção parceria,,5,0,8,0,0,43,0,0,0,0,0,0,0
90,5,excelente servicio muchas gracias la atención,,1,0,0,0,0,5,0,0,0,0,0,0,1
120,5,dani manu super atenciosas queridas fizeram cupcakes personalizados carinho todos adoraram,,12,0,0,0,0,4,0,0,0,0,30,0,0
180,5,sabor indescritível atendimento carinhoso,,8,4,0,0,0,15,0,0,0,0,0,0,0
210,5,fiz pedido cupcakes evento empresa maior sucesso além sabor maravilhoso aparência impecável utilizei logo marca cobertura qualidade incrível pequenos detalhes indico demais,,5,0,1,0,0,6,0,0,0,0,0,0,0
210,5,experiência maravilhosa atendimento super atencioso cupcake delicioso aparência linda,,2,0,0,0,0,3,0,0,0,0,0,0,1
240,5,bolos deliciosos preço justo comunicação encomendas fácil assertiva tudo tratadovia whatsapp equipe atendimento atenciosa gentil,,1,1,0,0,0,0,0,0,0,0,0,0,1
240,5,cupcakes deliciosos entrega garantida obrigada,,18,1,8,0,0,46,0,0,0,0,0,1,0
270,5,atenciosos entregam produto lindo ótima qualidade tudo perfeito,,3,4,2,0,0,10,0,0,0,0,1,0,1
300,5,cliente fã cupcakeito massa perfeita leve cobertura deliciosa ainda bom gosto bolo estilizado,,6,1,0,0,0,4,0,0,1,0,0,0,0
330,5,null,,2,2,0,0,0,6,0,0,0,0,0,0,1
330,5,cupcakes bem molhadinho saboroso gosto quero tão gostoso atendimento maurício nota 1000 cupcake personalizado ficou fofo lindo demais amei recomendo,,6,5,17,0,0,11,2,0,0,0,0,0,0
330,5,null,,2,1,0,0,0,5,0,0,0,0,0,0,1
330,5,anos família cliente festas adultos sempre pedimos sabores coberturas variadas sucesso certeiro ano festa infantil maurício muitíssimo atencioso alguns detalhes menu degustação receita família conversa horários doidos muita empolgação gosto assim todo mundo junto trabalhando fazer melhor assim parabéns pessoal recomendo olhos fechados,,8,0,0,0,0,12,0,0,0,0,0,0,0
330,5,elogios atendimento incrível feito pessoas gentils atenciosas além produtos excelente qualidade sucesso sempre pessoal,,24,2,2,0,0,61,0,0,0,0,2,0,0
330,5,atendimento excelente apresentação cuidadosa bem feita sabor excelente achei ótima opção fazer cupcakes bolo aniversário filho,,2,2,0,0,0,13,1,0,1,0,0,0,0
365,5,grande verdade delícias,,391,6,80,1,0,1371,0,0,1,0,0,8,0
365,5,experiência maravilhosa tudo feito cuidado capricho todos amaram,,1,0,0,0,0,0,0,0,0,0,0,0,1
365,5,null,,1,1,0,0,0,5,0,0,0,0,0,0,1
365,5,adorei cupcakes colaboradores amaram,,10,2,2,0,0,11,0,0,0,0,0,0,1
365,5,null,,2,18,0,0,0,21,0,0,0,0,0,0,1
365,5,bolo maravilhoso além super gostoso lindo convidados elogiaram,,1,0,1,0,0,0,0,0,0,0,0,0,1
365,5,melhor cup cake paulo atendimento bom,,62,15,10,0,0,0,0,0,0,0,0,0,0
365,5,pedi bolo pistache chocolate branco bolo delicioso decoração impecável decidimos fazer bico surpreendeu bolo ficou intacto hora parabéns qualquer imperfeição todos mesa gostaram demais recheio sabor marcante pistache,,3,0,1,0,0,12,0,0,0,0,0,0,0
365,5,null,,0,5,0,0,0,0,0,0,0,0,0,0,1
365,5,dúvida melhores cupcakes cidade red velvet nao igual,,14,0,2,0,0,17,1,0,0,0,0,0,0
365,5,atendimento bom meninas super fofas cup cake delícia,,2,4,0,0,0,0,0,0,0,0,0,0,1
365,5,null,,8,9,12,0,0,15,0,0,0,0,0,0,0
365,5,adooorrooo tudo excelente gostoso top red velvet pistache,,3,0,0,0,0,7,0,0,0,0,0,0,1
365,5,d,,3,1,0,0,0,3,0,0,0,0,0,0,1
365,5,encomendei cupcakes chegaram certinho embalagem mto fofa muuuito cheirosos macios delicia perfeitos,,5,1,3,0,0,37,0,0,0,0,0,0,1
365,5,null,,1,1,0,0,0,0,0,0,0,0,0,0,1
365,5,excelente saboroso,,3,1,0,0,0,0,0,0,0,0,0,0,1
365,5,super recomendo cupcake maravilhoso encomendei bolo aniversário decoração impecável,,1,0,0,0,0,0,0,0,0,0,0,0,1
365,5,encomendo cupcakes ingredientes primeira sempre fresquinhos recomendo 100,,7,0,4,0,0,7,0,0,0,0,0,0,1
365,5,incrível atendimento dani extremamente acolhedora produtores incríveis parabéns dani atendimento trabalho impecáveis,,1,1,0,0,0,1,0,0,0,0,0,0,1
365,5,anos consumo cupcakeito macio super recheado deliciosoooos favorito brigadeiro venho registrar satisfação apenas bolitos oferecidos atendimento dani impecável mega atenciosa esforçada gentil,,2,0,0,0,0,0,0,0,0,0,0,0,1
365,5,atendimento bolinhos perfeitos,,2,0,0,0,0,0,0,0,0,0,0,0,1
365,5,moro melhor jeito encontrei presentear pessoas amo cupcakes lindos deliciosos falar capricho atenção têm cada pedido servico sempre amigável impecável pra mim sempre prazer fazer pedido certeza posso confiar vai deixar pessoas amo felizes,,5,1,0,0,0,4,0,0,0,0,0,0,0
365,5,atendimento bom bolo então fala delícia,,17,10,2,0,0,89,2,0,0,0,0,0,0
730,5,gostoso,,2,1,0,0,0,0,0,0,0,0,0,0,1
730,5,encomendei cupcakes evento corporativo atendida lais dani ambas super atenciosas respondiam rápido melhor orçamento encontrei qualidade perfeita cumpriu todos acordos combinados sabor maravilhoso indico olhos fechados,,11,11,3,0,0,5,1,0,0,0,1,0,0
730,5,percebese carinho atenção honestidade colaboradores desde contato produto final adoramos pedido super especial sabordelicioso apreciam buttercream terao grata surpresa,,3,2,0,0,0,2,0,0,0,0,0,0,1
730,5,atendimento especial super atenciosos bolo delicioso amei,,8,6,0,0,0,24,0,0,0,0,0,0,1
730,5,null,,78,73,304,3,1,754,0,0,1,0,18,0,0
730,5,simplesmente incrível divino lindo delicioso perfeito sempre obrigada adoçar todos aniversários demais,,1,2,0,0,0,0,0,0,0,0,0,0,1
730,5,null,,0,4,0,0,0,0,0,0,0,0,0,0,1
730,5,atendimento super atencioso bolo além delicioso lindo todos amaram,,4,0,0,0,0,0,0,0,0,0,0,0,1
730,5,null,,1,1,0,0,0,0,0,0,0,0,0,0,1
