tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
3 meses atrás,5,"Almocei em um dia de semana e achei maravilhoso! A comida muito bem feita, sobremesas ótimas e o atendimento impecável. Já fui algumas vezes e nunca decepcionou.",False,5,0,0,0,0,3,0,0,0,0,0,0,1
4 meses atrás,5,"Ótimo lugar,conserteza voltarei mais vezes",False,7,5,1,0,0,17,0,0,0,0,0,0,1
4 meses atrás,5,null,True,11,28,0,0,0,83,2,0,0,0,0,0,0
5 meses atrás,5,サンパウロのレストランはちょっと遠くにいかない限りどこにいっても日本よりも高いですが、ここきとけば失敗ないです。日曜日昼にきて食べ放題で大人１名140レアル(+サービス料)、6歳まで無料。コスパ良い。,True,15,6,0,0,0,54,0,0,0,0,0,0,0
7 meses atrás,5,"Ambiente super agradável,  música boa e ótimo atendimento,  colaboradores super atenciosos!",True,41,47,37,3,0,330,0,0,0,0,0,4,0
7 meses atrás,5,Muito bom,False,3,1,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,"Ambiente agradável e comida deliciosa. Fomos em um domingo no almoço, após fazer o check-in no hotel. Júlio, muito gentil e prestativo,  nos atendeu à mesa, explicando sobre o buffet  e serviço. Pagamos 130,00 pp, com bebidas e uma taça de espumante inclusa no valor. Voltaremos com certeza!",True,243,30,780,6,0,430,5,0,5,0,1,0,0
9 meses atrás,5,"Venho parabenizar o profissional Júlio que nos atendeu tão bem, foi impecável no auxílio com os meus colegas norte-americanos e se mostrou um profissional muito eficiente e empático. A recepcionista que estava presente também prestou um excelente atendimento, muito simpática e eficiente, ela não me falou o seu nome, por isso não saberei dizer. Muito obrigada pelos serviços do início ao fim, sem contar com a comida que  estava deliciosa.",False,1,5,4,0,0,9,0,0,0,0,0,0,1
9 meses atrás,5,Restaurante espetacular ! Comida muito boa mesmo,False,4,1,3,0,0,6,0,0,2,0,0,0,0
10 meses atrás,5,null,True,0,64,0,0,0,11,2,0,0,0,0,0,0
10 meses atrás,5,Comida boa e preços $$$. Local agradável próximo da av Paulista.,True,267,1,33,6,0,390,0,0,1,0,0,27,0
10 meses atrás,1,"16/12/2023 O restaurante estava reservado para um evento. Nos acomodaram numa área lateral. Os pratos demoraram 50 minutos. Zero atenção de qualquer funcionário. Todos estavam ligados no evento. Tive que levantar da mesa e reclamar. A carne estava boa, mas a massa totalmente seca e sem gosto. O frango mal assado no centro. Legumes sem tempero, que não foram trazidos à mesa. Tive que pedir. Nem a cozinha nem o pessoal tinha o menor preparo para lidar com a situação. Péssimo! Pra dizer o mínimo!!!! Até pra retirar o carro do estacionamento foi um parto. Como eu e minha amiga temos cada uma um Corolla, os funcionários não conseguiam entender que se tratavam de DOIS CARROS, embora tivéssemos pago por duas taxas de estacionamento. Um ABSURDO!! Que saudade do antigo ALL SEASONS, um ambiente fino, elegante, com funcionários preparados, comida maravilhosa! Se não conseguem dar conta de um pequeno evento como o de ontem, por que não fecham de uma vez o restaurante para outros clientes???!!! Melhor do que demonstrar tamanha falta de profissionalismo. Nunca mais voltarei.",False,1,0,0,0,0,310,0,0,0,0,0,0,0
