tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
uma semana atrás,5,"Simples e autêntica pizza Napolitana, a melhor que já comi no Brasil!",True,38,30,0,0,0,36,0,0,1,0,6,0,0
2 semanas atrás,5,null,True,26,11,4,0,0,170,0,0,0,0,0,1,0
2 semanas atrás,4,"O lugar é bem simples, mas que mantém a tradição, as opções de pizzas são excelentes e o calzone de calabresa com mussarela é surreal, muito bom e com um gostinho simplesmente sensacional, gostei bastante desse lugar, ainda mais pela variedade de opções que tem ao redor!  Recomendo esse lugar para comer na hora do almoço ou depois do happy hour simplesmente sensacional e muito bem saboroso.  Gosto muito desse lugar e as opções de sabores que estão disponíveis, simplesmente genial o calzone de calabresa e a pizza pão, nossa que sabor gostoso.",True,193,6,1643,124,0,1291,13,0,3,0,33,5,0
um mês atrás,3,"Achei que a qualidade da pizza caiu um pouco, era melhor antes.",True,471,117,290,3,0,373,1,0,0,0,5,23,0
2 meses atrás,5,null,True,24,44,0,0,0,176,0,0,2,0,0,0,0
3 meses atrás,5,"Pizza simplesmente maravilhosa, de encher os olhos e barriga, ótimo atendimento e super rápido",True,20,85,55,0,0,534,18,0,0,0,0,1,0
3 meses atrás,5,null,True,202,123,53,0,0,1032,0,0,1,0,0,0,0
4 meses atrás,1,"Infelizmente não sei se tivemos azar ou se realmente a qualidade é duvidosa. Experiência péssima, pizza fria com poucos ingredientes e nada a ver com a foto. Massa dura sem sabor e sem graça. Pedimos a pizza antiga Margherita e a Carnevale com burrata. Porém não vieram como na foto e nem com sabor que esperávamos, sem molho tomate branco, sem a calabresa, mal tinha queijo. Que pena e pelo valor esperávamos muito mais. Que pena!!! Assinado Ryleria amiga da Liliane que me emprestou a conta dela.",False,2,5,0,0,0,4,0,0,0,0,0,0,0
5 meses atrás,4,As pizzas são muito gostosas e mesmo as individuais tem um tamanho grande!,True,55,577,5,6,0,593,29,0,0,0,1,1,0
5 meses atrás,5,"Experimentei a carbonara. Massa leve, ingredientes de ótima qualidade e ponto muito bom. Recomendo!",True,71,3,8,0,0,497,5,0,0,0,0,0,0
5 meses atrás,5,"Ótima pizza, valor razoável, mas vale a pena, pois as pizzas são deliciosas.",True,88,2,37,2,0,1971,3,0,0,0,7,3,0
5 meses atrás,5,"Há alguns meses, eu avalie a Pizzeria de forma bem negativa, no entanto, durante uma visita que fiz na época, o Gabriel (que não trabalha mais no local) e um outro rapaz, Josiel, eu acho, ouviram atentamente os meus comentários sobre a pizza que estavam entregando. Hoje afirmo que eles voltaram ao melhor padrão de pizza napoletana que faziam antigamente, está muito boa! A única sugestão que eu deixaria é voltarem a colocar aquele papel sobre o prato quadrado vermelho que tinha antes, fica muito melhor. E irem urgente até a unidade do Brooklyn ensinar como se faz pizza napoletana, pois lá eles não sabem.",False,14,0,3,0,0,20,0,0,0,0,0,0,0
5 meses atrás,4,"Sem dúvidas eles possum uma pizza italiana de impressionar, mas sempre tenho a sensação de que falta algo. Talvez seja a falta de carisma dos funcionários, ou aquele ar de que estamos em um restaurante chique, mas na verdade é uma simples pizza. Inclusive já comemorei meu aniversário lá, e não ganhei nem um parabéns.",True,45,6,5,0,0,138,1,0,0,0,29,2,0
6 meses atrás,3,null,True,169,129,225,1,0,86,6,0,3,0,13,14,0
7 meses atrás,5,Pizza boa,True,21,1,0,0,0,6,0,0,0,0,0,0,0
7 meses atrás,5,Cada uma melhor do que a outra e os sabores então...gosto de quero mais... recomendo...,True,16,16,0,0,0,87,0,0,0,0,0,0,0
7 meses atrás,5,A burrata com presunto é surreal!,False,15,0,0,0,0,6,0,0,0,0,0,0,1
7 meses atrás,5,Excelente pizza.,True,57,50,0,0,0,41,0,0,0,0,0,1,0
7 meses atrás,5,"Pizza muito boa, serviram rápido e atendimento bem educado.",True,49,66,2,0,0,311,4,0,6,0,1,0,0
7 meses atrás,5,Perfeito!,True,33,16,0,0,0,85,0,0,0,0,1,0,0
7 meses atrás,5,null,True,8,66,0,0,0,82,0,0,0,0,0,0,0
7 meses atrás,5,Qualidade expendida,False,23,1,0,0,0,3,0,0,0,0,0,0,0
7 meses atrás,5,null,True,4,8,16,7,0,8,0,0,0,0,0,1,0
7 meses atrás,5,null,False,1,5,0,0,0,16,1,0,0,0,0,0,1
7 meses atrás,5,null,True,54,17,7,0,0,1094,6,0,0,0,0,15,0
7 meses atrás,1,Lugar legal !!,True,4,4,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,null,True,10,163,166,1,0,616,0,0,0,0,0,0,0
9 meses atrás,3,"Ambiente maravilhoso, bom atendimento e a pizza é maravilhosa.",True,10,36,0,0,0,148,0,0,0,0,0,0,0
9 meses atrás,5,null,False,3,23,0,0,0,268,0,0,0,0,0,0,0
9 meses atrás,5,"Vale o passeio ao mercado e a pizza napolitana é excelente. Para quem conhece sobre o produto, método de fabricação, e tudo que está envolvido no processo, sabe do que estou relatando.",False,18,18,11,0,0,108,0,0,0,0,0,0,0
10 meses atrás,1,Consta fechamento 21:30. Chegamos 20:00 e estava fechado. Ficamos na rua procurando Uber e taxi. Precisam atualizar e não lesar o cliente. Prejuízo fica com quem no fim? Cliente.,True,2,0,2,0,0,0,1,0,2,0,0,0,1
10 meses atrás,5,Pizza maravilhosa! A melhor que já comi em SP!,False,15,0,8,0,0,47,0,0,0,0,0,0,0
11 meses atrás,5,"Pizza PERFEITA e atendimento EXEMPLAR. Massa da pizza fina, bem recheada, suculenta e rápida, voltarei com certeza para comer mais vezes.",True,10,1,18,0,0,82,0,0,0,0,0,0,0
um ano atrás,5,Perfeito,True,399,5,1,0,0,152,0,0,0,0,4,52,0
um ano atrás,4,"Lunes a las 15:15 y, pese a ser un poco tarde para comer, nos atendieron estupendamente (creo que tienen cocina ininterrumpida durante todo el día). Se encuentran en el segundo piso dentro del mercado, tienen unas 10 mesas aproximadamente y el servicio ha sido muy bueno. Las pizzas también muuuy buenas, no nos esperábamos nada así. Hemos pedido dos pizzas (una carbonara y una calabresa), un agua y una cocacola, todo por 118R.",True,48,0,36,3,0,308,1,0,0,0,0,0,0
um ano atrás,5,"Fui muito bem atendido pelo pizzaiolo Josiel, que fez ótimas pizzas. Normalmente o preço é bom, mas o custo benefício com o passaporte Pinheiros vale a pena demais, recomendo!",True,13,1,7,0,0,47,0,0,0,0,0,0,0
um ano atrás,5,null,True,82,319,312,16,0,385,80,0,1,0,6,4,0
um ano atrás,5,"Melhor pizzaria de São Paulo, mas lamentável fechar às 18h",False,3,0,0,0,0,0,0,0,0,0,0,0,0
um ano atrás,5,"Pizza muito gostosa, há opções fechadas de sabor.",True,45,21,14,0,0,517,0,0,0,0,8,4,0
um ano atrás,5,"Muito bom, não tem nada ruim mas gostaria de ver algumas opções mais tradicionais italianas e menos sabores de ""turistas"" lá é comum encontrar muitas sem queijo por exemplo, já aqui o único sabor sem queijo é a Marinara...",True,93,74,7,0,0,483,1,0,0,0,0,4,0
um ano atrás,5,"A melhor pizza que já comi, leve com uma preparação sem igual. Recomendo com muito entusiasmo.",False,43,84,3,0,0,1182,1,0,0,0,0,0,0
um ano atrás,5,null,True,593,105,242,1,0,4948,2,0,1,0,0,367,0
um ano atrás,5,null,False,6,18,0,0,0,18,0,0,0,0,0,0,0
um ano atrás,4,Mercadão precisa de um trato.,False,69,37,8,0,0,7,0,0,0,0,0,0,0
um ano atrás,5,null,True,5,35,4,0,0,86,0,0,0,0,2,0,0
um ano atrás,4,null,True,6,229,172,0,0,673,0,0,0,0,1,0,0
um ano atrás,5,null,True,62,193,956,151,0,2073,2,0,0,0,0,5,0
um ano atrás,4,"Pizza muito boa por um preço justo, voltaria para experimentar novos sabores.",True,19,0,0,0,0,36,0,0,0,0,0,0,0
