tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
2,5,ambiente super agradável cerveja maravilhosa pesssoal gente boa vale visita,,4,0,5,0,0,10,0,0,0,0,0,0,1
14,5,bom super recomendo visita nesse bar,,18,42,0,0,0,72,0,0,0,0,0,0,0
30,5,null,,3,10,8,0,0,16,0,0,1,0,0,0,0
30,5,null,,1,1,0,0,0,5,0,0,0,0,0,0,1
30,5,null,,38,54,26,0,0,39,0,0,1,0,5,1,0
30,5,null,,7,12,42,1,0,37,0,0,0,0,0,0,0
60,5,null,,12,20,8,0,0,21,0,0,0,0,0,0,0
60,5,sempre torneiras bem diversificadas ambiente amigável familiar,,102,30,9,0,0,246,1,0,0,0,0,2,0
60,5,muitas opções chopp todos gostos recomendo,,2,0,0,0,0,6,0,0,0,0,0,0,1
60,5,null,,36,13,3,0,0,50,0,0,0,0,0,0,0
60,5,null,,3,83,2,0,0,474,2,0,1,0,27,0,0
90,5,null,,35,33,0,0,0,92,0,0,0,0,0,1,0
90,5,bar top várias opções chopp artesanal ambiente super agradável perfeito passar tempo amigos família experimentar diferentes tipos chopp ter experiência diferenciada recomendo,,7,3,12,0,0,79,0,0,0,0,0,0,1
90,5,ótimas cervejas artesanais barata menos 600 100ml cara 1500 100ml ha cervejas artesanais lata algumas porções comer sábado musica vivo donos fuko leandro super atenciosos,,40,6,85,7,0,668,0,0,0,0,0,4,0
90,5,hygger fiquei encantada experiência única oferecem bar serve chopp artesanal estilo selfservice telas indicando tipo cada chopp respectivos valores pode escolher quantidade deseja incrível experimentar vários tipos além disso bar possui técnica refrigeração copos onde pode simplesmente apoiálo jato água resfriálo forma prática rápida achei detalhe interessante dúvida bares diferentes visitei adorei recomendo busca experiência nova paulo,,58,48,114,0,0,46,0,0,0,0,0,0,0
90,5,null,,10,41,3,0,0,232,0,0,0,0,0,0,0
90,5,ambiente amigável várias opções bebidas atendimento top descontraído voltaremos vezes certeza,,23,3,26,0,0,187,0,0,0,0,0,0,0
120,4,simples rápido amigável selfservice indicações telas cervejas artesanais sabor bem intenso preço termina sendo intenso,,229,14,606,4,2,121,36,0,28,1,37,13,0
120,5,amei estilo consumo local possível escolher características cerveja deseja experimentar quantidade ideal ambiente gostoso recomendo,,21,2,33,5,2,72,0,0,0,0,0,0,0
150,5,null,,6,15,0,0,0,23,0,0,0,0,1,0,0
180,5,ótimo lugar tomar cerveja variedade preço honesto donos sempre presentes sempre solícitos,,11,5,1,0,0,45,0,0,0,0,0,0,0
180,5,atendimento atencioso boas opções cerveja disponibilizar água gelada vontade ótima ideia deve copiada,,5,1,0,0,0,4,0,0,0,0,2,0,1
180,5,excelente,,43,4,47,0,1,395,1,0,1,0,4,1,0
180,5,ambiente descontraído aliado melhores cervejas,,28,25,13,0,0,748,0,0,0,0,0,0,0
240,5,null,,64,54,195,4,0,1046,0,0,0,0,0,0,0
240,5,null,,74,32,34,0,1,442,0,0,1,0,0,22,0
240,4,null,,32,976,904,0,0,1990,0,0,2,0,12,0,0
270,5,null,,2,126,2,0,0,1502,1,0,0,0,1,0,0
300,5,boa opção quer tomar boa cerveja artesanal região várias torneiras onde vc pode servir experimentar diversos tipos cerveja dúvida vai session ipa hop casa,,55,75,145,1,0,709,0,0,0,0,20,9,0
300,5,null,,4,2,1,0,0,100,1,0,0,0,0,0,0
300,5,null,,13,21,59,6,0,798,0,0,0,0,11,0,0
330,5,null,,1,2,0,0,0,10,0,0,0,1,0,0,1
330,5,null,,105,193,135,4,0,630,4,0,0,0,7,4,0
365,5,lugar tomar chopp cerveja verdade bater papo tranquilo,,14,21,2,0,0,18,0,0,3,0,0,0,0
365,5,melhores cervejas aqui,,65,115,17,0,0,815,2,0,2,0,51,5,0
365,5,null,,15,7,6,0,0,14,0,0,0,0,0,0,1
365,5,null,,77,32,1,0,0,1022,1,0,0,0,0,1,0
365,5,delícia lugar descontraído cervejas incríveis recomendo,,36,30,0,0,0,154,0,0,0,0,0,0,0
365,5,null,,7,18,3,0,0,18,1,0,0,0,0,0,0
365,5,ambiente gostoso atendimento agradável modelo cartões prépagos legal,,9,6,0,0,0,48,0,0,0,0,0,0,1
365,5,null,,40,178,113,0,0,63,1,0,0,0,0,3,0
365,5,null,,150,47,21,0,0,1031,0,0,2,0,0,4,0
365,5,ótimas opções cervejas sempre novidades,,13,3,1,0,0,119,2,0,0,0,0,0,0
365,2,null,,7,42,0,0,0,20,0,0,0,0,0,1,0
365,5,null,,1,4,0,0,0,2,0,0,0,0,0,0,1
365,5,null,,2,8,0,0,0,2,0,0,0,0,0,0,1
365,5,null,,20,21,16,0,0,526,0,0,0,0,0,0,0
365,5,null,,27,77,35,1,1,218,0,0,0,0,0,6,0
365,4,null,,11,106,27,0,0,421,0,0,0,0,0,0,0
365,5,null,,47,12,170,28,0,72,0,0,0,0,1,0,0
365,5,null,,61,42,5,0,0,51,3,0,1,0,13,0,0
365,3,gosta cerveja conversar amigos ótimo lugar passar tempo,,224,154,248,2,1,1177,2,0,3,0,111,12,0
365,5,boas cervejas tanto torneiras quanto expositora sistema auto serviço dando liberadade olhar telas escolher cerveja melhor servir ambiente agradavel,,5,3,0,0,0,17,0,0,0,0,0,0,0
365,5,cervejas boas vez enquanto trocando sistema fica vontade servir quantidade desejada podendo experimentar várias ter beber cozinha vendem uns salgadinhos aliviar fome salgar boca pouco local pequeno porém bem agradável,,66,0,69,0,3,494,3,0,0,0,0,1,0
365,5,null,,83,42,266,0,0,1426,7,0,1,0,49,4,0
365,3,null,,124,1264,1757,12,0,4132,25,0,10,0,109,4,0
365,5,null,,38,108,40,0,0,154,0,0,0,0,0,0,0
365,5,interessante conceito self service cervejas ainda pra levar mexicano lado,,479,160,1908,5,0,2055,3,0,4,0,20,57,0
365,5,serviço excelente ótimas opções cervejas sistema autosserviço dica peça fish chips,,5,5,11,0,0,259,1,0,0,0,0,1,0
365,5,bar cerveja artesanal sistema selfservice ambiente gostoso atendimento bom,,62,51,59,0,0,111,0,0,0,0,0,0,0
365,5,sensacional gostei conceito degustar cervejas bem variadas pagar ml consumido,,7,28,14,2,0,97,0,0,0,0,0,0,0
365,5,null,,51,8,30,0,0,145,0,0,0,0,0,0,0
365,5,null,,7,5,3,1,0,17,0,0,0,0,0,1,0
365,5,excelente sempre boas opções cerveja artesanal gostos variados,,6,9,3,0,0,27,0,0,0,0,0,0,0
365,5,cervejas artesanais espetaculares classe premium carrega cartão quantia quiser serve quanto quer beber cada cerveja troca copo cada degustada salgadinhos pastéisinhos fritos hora vc pode trazer salgado,,147,4,0,0,0,10,2,0,0,0,1,6,0
365,4,null,,23,194,183,0,1,700,0,0,0,0,5,1,0
365,5,null,,10,31,1,0,0,8,0,0,0,0,0,2,0
365,5,cervejas boas preço justo caras gente boa enfim ótimo lugar pra tomar galera,,56,3,14,1,0,359,0,0,0,0,0,1,0
365,5,null,,2,45,35,0,0,395,1,0,0,0,0,0,0
365,5,null,,3,82,2,0,0,737,0,0,0,0,0,0,0
365,5,null,,132,88,191,0,0,1615,7,0,2,0,2,0,0
365,5,null,,59,63,0,0,0,154,1,0,0,0,2,0,0
365,5,cervejas únicas vale pena experimentar,,23,16,4,0,0,406,2,0,0,0,0,0,0
365,5,cervejaria via leopoldina sistema selfservice cartão pré pago libera bico escolhido paga quantidade serviu 10 bicos cervejas todo brasil cada dia carta cervejas disponibilizada telas cada bico informam tipo marca cerveja origem teor alcoólico além cervejas casa serve alguns pratos acompanhamento experimentei área pequena bem aconchegante vale pena conhecer,,941,1,552,0,0,2323,6,1,0,0,1,14,0
365,4,gosto bastante cervejaria sistema sirvase vc boas opções cervejas disponíveis últimos tempos adicionaram porções cardápio pra conhece vale pena dar passada hidratar conhece acaba voltando,,69,56,73,0,2,35,1,0,0,0,0,7,0
365,4,null,,9,122,17,0,0,683,23,0,0,0,0,1,0
365,5,atendimento bom descontraído ótimas cervejas local degustar cervejas artesanais,,47,12,113,0,0,166,0,0,0,0,0,0,0
730,5,null,,3,6,0,0,0,6,2,0,0,0,0,0,1
730,5,null,,10,78,5,0,0,46,4,0,0,0,3,1,0
730,5,null,,13,53,18,0,0,191,0,0,0,0,0,0,0
730,4,lugar bacana happy variedades chopporém achei porções carinhas saborcheiro forte cigarro,,143,3,142,15,0,2319,0,0,0,0,71,11,0
730,5,gosto,,44,27,141,9,0,15,9,0,3,0,38,0,0
730,5,gostei,,2,0,0,0,0,0,0,0,0,0,0,0,1
730,5,excelente variedade atendimento,,303,36,197,4,0,6098,6,0,0,0,8,5,0
730,4,null,,66,285,91,2,0,1151,0,0,0,0,0,9,0
730,5,excelente cervejaria excelente atendimento lá serve fazer cartão onde coloca quanto carga quiser dependendo cerveja pode pagar 350 500 reais ml copos colocados bancada embaixo torneiras passe cartão local indicado posicione copo acione torneira vê tela quanto mls colocando assim controle quanto gastou banheiro limpo sabonete toalhas papel,,251,30,1910,60,2,122,83,0,15,0,530,60,0
730,5,ótimas cervejas,,44,43,14,0,0,402,0,0,0,0,0,2,0
730,5,null,,101,13,49,0,0,60,0,0,0,0,0,2,0
730,5,bom tomar cerveja,,47,52,282,1,0,76,0,0,0,0,0,1,0
730,4,null,,23,123,71,0,0,1058,0,0,0,0,0,3,0
730,5,null,,17,108,55,0,0,96,3,0,0,0,0,0,0
730,5,16 biqueiras diversas cervejas disneylândia atendimento 1ª melhor abrem todos dias garrafinha 1l 20 levar pode pedir tbm,,7,1,0,0,0,12,0,0,0,0,0,0,0
730,5,boa cerverveja boa música melhor lugar todos,,34,62,5,0,0,322,0,0,1,0,0,0,0
730,5,null,,37,81,0,0,0,510,0,0,0,0,0,0,0
730,4,gosto ambiente tomar chopp diferente bater papo,,30,7,0,0,0,190,0,0,0,0,1,1,0
730,5,null,,9,20,17,0,0,76,1,0,0,0,1,0,0
730,4,null,,65,86,92,0,0,476,6,0,0,0,24,0,0
730,5,null,,8,27,0,0,0,117,0,0,0,0,0,0,0
730,5,grande variedade ótimo atendimento,,124,127,299,1,0,92,8,0,1,0,56,4,0
730,5,null,,40,73,7,0,0,145,1,0,0,0,0,0,0
730,4,null,,197,16,6,0,0,234,0,0,0,0,0,0,0
730,5,inovador leopoldina clima informal chopes artesanais realmente gosta cerveja conversa serve quantidade quiser chope quiser experimentar cartão servir saldo chegar torneira tomar sei chope melhor esquema informal le fuko alma casa vida longa,,145,7,368,0,0,1546,9,0,1,0,18,0,0
730,3,null,,112,16,32,0,0,250,0,0,2,0,2,0,0
730,5,show cliente cerveja boa diversas regiões diversos tipos,,28,6,7,0,1,83,0,0,2,0,0,0,0
730,5,chopp top,,93,27,4,0,0,15,0,0,0,0,2,7,0
730,5,null,,52,39,40,0,0,19,0,0,0,0,0,2,0
730,5,null,,74,46,75,0,0,2188,1,0,0,0,25,0,0
730,5,adorei,,89,27,0,0,0,6,0,0,0,0,0,1,0
730,5,null,,13,45,0,0,0,18,0,0,0,0,0,0,0
730,5,cerveja boa salgadinhos amendoins pra vender abertos pedir comida,,15,8,14,0,0,80,0,0,0,0,0,0,0
730,5,wonderful,,28,27,2,0,0,95,0,0,0,0,0,1,0
730,5,local agradável conhecer junto namorada ficamos bem vontade logo chegamos recebemos instruções tudo funcionava fácil servir bebida desejada existem várias opções atendem diversos gostos vale ressaltar água gelada gratuita última torneira contam mesas cadeiras internas área calçada recomendo pra gosta boa cerveja artesanal,,97,1,105,1,0,30,28,0,3,0,79,9,0
730,5,sistema prépago paga ml consumido excelente variedade cervejas ótimo atendimento ambiente,,46,12,40,0,0,200,1,0,0,0,2,0,0
730,5,null,,6,38,1,0,0,26,0,0,0,0,11,0,0
730,5,boa variedade cervejas esquema self service funciona verdade,,250,406,543,1,0,2353,1,0,0,0,18,1,0
730,5,cerveja boa grande variedade,,79,43,414,1,0,836,0,0,0,0,2,0,0
730,4,bom,,41,49,1,0,0,262,0,0,5,0,1,0,0
730,5,boa experiência vc serve quantidade desejada cobrado cartão prépago existem diversos tipos cervejas artesanais vários lugares brasil vale pena experimentar,,371,284,425,0,0,2055,15,0,7,0,26,4,0
730,5,ótima variedade cervejas artesanais melhor paga ml então pode experimentar todas gostei poder trazer comida outros estabelecimentos acordo gosto cada,,3,85,0,0,0,45,0,0,0,0,0,0,0
730,4,null,,123,47,81,0,0,87,0,0,0,0,0,8,0
1095,5,bom demais música ambiente boa m,,41,53,18,0,0,430,0,0,0,0,0,2,0
1095,4,servem comidacervejas boasde ótima qualidafe boas variedades,,55,22,1,0,0,1125,0,0,0,0,0,1,0
1095,5,null,,10,8,8,1,1,3,1,0,0,0,0,2,0
1095,5,cervejaria excelente região característica selfservice clientes onde cada pega copo escolhe cerveja conforme informações disponíveis display serve quantidade desejar onde pagase quantidade ml consumir dessa forma possível experimentar diferentes opções todas tomei boas precisa ficar atento pegar algum estilo goste dúvida pegue somente pouco provar encha copo aproveite,,159,54,645,22,1,120,24,0,10,0,44,2,0
1095,4,null,,16,45,41,0,0,558,0,0,0,0,0,0,0
1095,5,null,,6,13,0,0,0,102,0,0,0,0,0,0,0
1095,5,null,,0,11,4,0,0,0,0,0,0,0,0,0,1
1095,5,adorei conceito local carrega cartão prépago consome cerveja saldo consumido enquanto vai enchendo copo cerveja desejada cerveja selfservice aberto consumo alimentos terceiros,,305,53,442,0,0,1722,17,0,4,0,38,11,0
1095,5,breja gelada boa variedade rótulos preço condizente grata descoberta,,47,38,12,0,0,16,10,0,0,0,9,3,0
1095,5,16 taps maravilhosos parabéns,,69,21,105,6,0,748,0,0,1,0,0,2,0
1095,5,cerveja boa amei trigo,,67,26,19,0,0,127,0,0,0,0,0,0,0
1095,5,excelente ambiente várias opções cervejas agora auto atendimento,,40,25,78,1,0,389,2,0,0,0,2,0,0
1095,5,null,,1,44,2,0,0,420,14,0,1,0,5,0,0
1095,5,cervejas qualidade sabor,,15,8,4,0,0,512,0,0,0,0,0,0,0
1095,5,bom,,1037,1,650,9,1,7756,6,0,1,0,25,20,0
1095,5,null,,187,30,47,0,0,354,0,0,0,0,1,0,0
1095,5,,,363,110,65,0,0,98,6,0,1,0,143,4,0
1095,5,daqueles lugares fazem valer pena morar vila leopoldina cerveja otima atendimento ambiente otimos,,223,57,135,0,1,2501,2,0,0,0,2,2,0
1095,5,null,,107,28,30,0,0,854,3,0,0,0,0,3,0
1095,5,null,,6,11,4,0,0,9,1,0,0,0,0,0,0
1095,5,null,,34,792,18,0,0,2664,346,0,0,0,25,4,0
1095,5,null,,25,156,9,0,0,452,17,1,0,0,1,0,0
1095,5,ótimo chopp artesanal ótimo atendimento,,32,58,111,0,0,814,28,0,0,0,2,2,0
1095,5,ambiente familiar agradável atendimento maravilhoso cervejasahhhhha cervejas todas fantásticas,,7,5,1,0,0,37,0,0,0,0,0,0,1
1095,5,null,,12,29,0,0,0,15,0,0,0,0,0,0,0
1095,5,melhores pubs paulo inúmeras opções chopp cervejas artesanais,,112,42,8,0,0,28,0,0,3,0,0,0,0
1095,5,melhor cervejaria vila leopoldina carta excelente,,13,4,0,0,0,14,0,0,0,0,1,2,0
1095,5,ótima cervejas ambiente familiar,,29,91,65,1,0,40,1,0,1,0,0,3,0
1095,5,atendimento super master ótimo rsrsrs cervejas especiais sempre ponto lugar gostoso final tarde noite tomar umas,,61,9,35,0,0,741,2,0,0,0,8,0,0
1095,5,null,,11,119,4,0,0,384,0,0,0,0,4,0,0
1095,5,null,,40,63,3,0,0,250,1,0,0,0,0,0,0
1095,5,lugar onde gente sente casa atendimento sempre cordial lugar limpo água vontade custo boas variedades cervejas engatadas preços justos programa fidelidade beerback onde recebe produtos mês seguinte consumo 10 valor consumiu mês anterior ahe mimo pros pets sempre vai lá ganha biscoito fica saco enorme sobre geladeira,,24,0,11,0,0,86,0,0,0,0,2,0,0
1095,5,null,,17,55,13,0,0,110,0,0,1,0,0,0,0
1095,5,null,,2,3,0,0,0,0,0,0,0,0,0,0,1
1095,5,null,,1,56,0,0,0,50,0,0,0,0,0,0,1
1095,5,null,,4,7,0,0,0,0,0,0,0,0,0,0,1
1095,5,ótimas aperitivos,,53,11,1,0,0,144,0,0,0,0,0,2,0
1095,5,null,,9,48,2,0,0,13,0,0,0,0,0,0,0
1095,5,cervejas diversas boa qualidade bom papo sócios,,97,79,66,0,0,65,1,0,0,0,2,7,0
1095,5,null,,48,141,198,14,1,370,9,0,1,0,0,19,0
1095,5,maravilhoso,,8,10,0,0,0,3,0,0,0,0,0,0,1
1095,4,null,,44,77,79,3,0,53,0,0,1,0,4,6,0
1095,5,ambiente acolhedor cervejas incríveis muitas opções possibilidade experimentar falta opções petiscos pra acompanhar vale super pena preço justo cerveja verdade recomendo vejo hora voltar,,9,6,0,0,0,0,0,0,0,0,0,0,1
1095,5,lugar agradável boas pessoas principal boas cervejas diferencial torneira água vontade hidratar,,63,2,65,2,0,364,23,0,3,0,47,0,0
1095,5,null,,33,364,451,15,0,2294,15,0,22,0,40,12,0
1095,5,cervejas especiais primeiríssima recomento,,301,14,312,2,0,838,8,0,0,0,1,11,0
1095,5,top atendimento qualidade,,49,92,5,1,0,544,0,0,0,0,0,0,0
1095,5,cervejas ótimas atendimento sensacional,,25,23,1,0,0,338,0,0,0,0,0,0,0
1460,5,null,,10,39,19,0,0,373,17,0,2,0,1,1,0
1460,5,null,,1,7,0,0,0,22,0,0,0,0,0,0,1
1460,5,null,,98,61,7,0,0,649,6,0,0,0,9,0,0
1460,5,excelente qualidade produtos atendimento donos dois caras bacanas explicam trazem pra dentro mundo cerveja 10 tipos diferentes cervejas artesanais alguns rótulos alguns fabricação autoria própria vale pena conhecer surpreendente,,65,3,83,0,0,1392,3,0,0,0,16,2,0
1460,5,null,,52,165,45,0,0,372,8,0,1,0,0,3,0
1460,5,bons chopes artesanais possível tanto beber local pint half pint levar growler 1l casa,,90,28,19,0,1,172,22,0,0,0,0,1,0
1460,5,ótima cerveja ótima música pessoal receptivo pura diversão,,21,6,0,0,0,51,0,0,0,0,0,0,0
1460,5,lugar simples extremamente agradáveleu recomendo,,85,8,3,0,0,466,0,0,0,0,1,0,0
1460,5,atendimento top estabelecimento variedade preço justo boa localização,,53,45,0,0,0,296,0,0,0,0,0,3,0
1460,5,cerveja qualidade todos gostos recomendado,,89,25,836,6,0,54,18,0,8,0,1,1,0
1460,5,ótimas cervejas atendimento excelente,,20,24,8,0,0,74,0,0,0,0,0,0,0
1460,5,null,,65,68,82,3,0,1364,5,0,0,0,1,0,0
1460,5,vem tomar lugar bacana pra descansar curtir boa cerveja,,63,150,77,0,0,421,2,0,0,0,0,0,0
1460,5,null,,3,82,0,0,0,248,2,0,1,0,2,0,0
1460,4,boa,,164,7,66,0,0,4574,0,0,0,0,0,5,0
1460,5,local duca pra tomar gelada qualidade além donos 2 brothers vale pena,,9,60,15,0,0,304,6,0,1,0,1,1,0
1460,5,null,,9,133,4,0,0,4322,2,0,1,0,1,0,0
1460,4,preços honestos oferta limitada produtos cervejas artesanais variam preço conforme tipo 1600 2400 setembro20 comer balguns salgadinhos saquinhos,,201,26,1059,2,20,1173,0,0,0,0,2,26,0
1460,5,null,,37,34,118,0,0,153,0,0,1,0,2,4,0
1460,5,excelente atendimento ótimas opções cerveja,,7,5,22,0,0,292,0,0,0,0,0,0,0
1460,5,excelente local tomar cerveja primeira qualidade,,84,43,61,0,0,553,1,0,0,0,0,0,0
1460,5,excelente opção vila leopoldina pra tomar cerveja seleção cervejas decepciona nunca bem servido donos simpáticos diferencial growler enchido contra pressão vale visita,,388,65,1130,11,2,3811,86,0,28,0,322,7,0
1460,5,ótima seleção chopes boa alternativa pra gosta cerveja artesanal,,48,23,58,0,0,112,1,0,2,0,0,0,0
1460,5,melhor lugar melhores donos servindo melhores cervejas,,1,0,8,0,0,0,0,0,0,0,0,0,0
1460,5,excelente tap house coração vila leopoldina preços bons atendimento excepcional,,136,18,1112,45,0,807,2,0,7,0,9,1,0
