tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
21,5,melhor brigadeiro vila mascote super indico,,9,8,11,1,0,52,0,0,0,0,0,0,0
30,5,delícia brigadeiro melhor vila mascote zona sul paulo compro 25 anos gente sente diferença usam ingredientes qualidade atendimento sensacional nunca paguei taxa entrega delivery indico,,1,0,0,0,0,7,0,0,0,0,0,0,1
30,5,brigadeiros gourmet maravilhosos recomendo delivery marcos doces porque além atendimento vip entrega taxa doces favoritos quindim porque realmente cheiro ovo bicho pé rosinha ninho nutella voltarei comprar certeza,,4,0,3,0,0,71,0,0,0,0,0,0,0
60,5,null,,11,12,12,0,0,21,0,0,0,0,0,2,0
60,5,excelentes doces queijadinha perfeita,,5,0,0,0,0,6,0,0,0,0,0,0,1
60,5,super indicado amei doces,,5,0,0,0,0,6,0,0,0,0,0,0,1
90,5,excelente,,3,0,0,0,0,11,0,0,0,0,0,0,1
90,5,doces maravilhosos apresentação impecável rapidez entrega virei fã recomendo 10 estrelas quindim melhor experimentei hoje,,3,0,0,0,0,17,0,0,0,0,0,0,0
120,5,ótimo atendimento entrega melhor produto qualidade sabor único bom,,37,2,1,0,0,163,0,0,0,0,0,0,0
120,5,adorei qualidade excelente ótimo atendimento recomendo,,2,12,0,0,0,0,0,0,0,0,0,0,1
120,5,queijadinhas maravilhosas melhor atendimento,,2,1,0,0,0,0,0,0,0,0,0,0,1
120,5,fantastico percebese feito amor carinho bem embalado adorei parabéns,,4,0,0,0,0,6,0,0,0,0,0,0,1
150,5,doces deliciosos fizeram sucesso festa obrigado,,6,2,0,0,0,7,0,0,0,0,0,0,1
150,5,doces maravilhosos quindim cheiro ovo atendimento marcos excelente,,2,0,1,0,0,0,1,0,0,0,0,0,1
150,5,null,,0,1,0,0,0,0,0,0,0,0,0,0,1
150,5,atendimento ótimo doces maravilhosos,,1,1,0,0,0,12,0,0,0,0,0,0,1
150,5,palavras marcos simpatia pessoa docinhos maravilhosos,,1,0,0,0,0,0,0,0,0,0,0,0,1
150,5,excelente atendimento doces simplesmente maravilhosos marcos parabéns trabalho toda equipe nota mil pra recomendo,,3,1,0,0,0,2,0,0,0,0,0,0,1
150,5,doces atendimento sempre impecável aqui loja cabide clientes amam doces além vestidoseu suspeita falar doces menos 20 anos super recomendo,,6,1,63,0,0,4,1,0,0,0,0,0,0
180,5,null,,1,1,0,0,0,0,0,0,0,0,0,0,1
210,5,gosto bem saborosos recomendo amo queijadinhas quindins especial,,18,41,8,0,0,287,0,0,1,0,0,0,0
210,5,gente atendimento rápido atenciosos doces incríveis delícia,,1,0,0,0,0,4,0,0,0,0,0,0,1
240,5,doces maravilhosos melhor quindim mundo simpatia sensacional parabéns,,1,0,0,0,0,0,0,0,0,0,0,0,1
240,5,doces gostosos qualquer momento entrega rápida marcos educado,,36,12,0,0,0,16,0,0,0,0,0,0,0
270,5,doces deliciosos vendedor doçura pessoa recomendo,,8,0,0,0,0,17,5,0,0,0,0,0,0
270,5,doces ótimos gostoso outro atendimento impecável recomendo vale pena conferir,,4,1,0,0,0,0,0,0,0,0,0,0,1
330,5,bem atendida doces deliciosos bem embalados aparencia quero vale apena experimentar,,32,24,0,0,0,813,0,0,0,0,0,3,0
330,5,bom dia tentei entrar contato numero nao voces faço pra entrar contato,,1,1,0,0,0,44,0,0,0,0,0,0,1
365,5,doces deliciosos qualidade além atendimento impecavel,,3,1,0,0,0,3,0,0,0,0,0,1,1
365,5,quindim delícia super pontual entrega,,1,0,0,0,0,0,0,0,0,0,0,0,1
365,5,doces delicioso atendimento maravilhoso agradeço ter conhecido,,7,4,1,0,0,4,0,0,0,0,0,0,1
365,5,doce bom brigadeiro maravilhoso super indico,,2,0,0,0,0,0,0,0,0,0,0,0,1
365,5,null,,32,10,47,0,2,15,6,0,0,0,0,4,0
365,5,marcos arrasa entregas doces sempre impecável atendimento agilidade nota mil,,8,2,0,0,0,3,0,0,0,0,0,0,1
365,5,muitoo gostosos docinhos amo marcos rápido atencioso nota dez,,1,1,0,0,0,0,0,0,0,0,0,0,1
365,5,deliciaaaaaaaaa,,7,0,2,0,0,0,0,0,0,0,0,0,1
365,5,null,,1085,6,7,1,0,4171,1,0,0,0,56,18,0
365,5,sensacional produto saboroso muita qualidade parabéns excelente trabalho,,1,1,0,0,0,0,0,0,0,0,0,0,1
365,5,ótimo atendimento ótimo sabor ótimo preço recomendo agradeço atendimento,,2,0,0,0,0,0,0,0,0,0,0,0,1
365,5,sei pq experimentar rss agora aparece quero docinhos capricho qualidade,,24,6,0,0,0,19,0,0,0,0,0,0,0
365,5,ótimos doces amo todos preferido brigadeiro ovomaltine atendimento perfeito,,3,0,0,0,0,3,0,0,0,0,1,0,1
365,5,doces maravilhosos marcos simpático atendimento excelente certeza comprarei vezes,,5,0,1,0,0,4,0,0,0,0,0,0,1
365,5,sempre atencioso divertido marcos docinhos deliciosos vila mascote chamar whatsapp chega rapidinho vale pena,,2,2,0,0,0,9,0,0,0,0,0,0,1
365,5,melhor delivery brigadeiros zona sul melhores doces comi atendimento marcos nota 10 super indico,,2,0,1,0,0,0,0,0,0,0,0,0,0
365,5,comprei 04 comi 04 vez gostosos viciantes,,9,0,2,0,0,19,0,0,0,0,1,0,1
365,5,ótimo atendimento,,5,5,0,0,0,30,0,0,0,0,0,0,1
365,5,atendimento vip adoro,,46,127,0,0,0,1269,1,0,0,0,0,1,0
365,5,bom,,4,1,0,0,0,0,0,0,0,0,0,0,1
365,5,gente pode comprar delícia vcs iram arrepender assino baixo,,2,1,0,0,0,0,0,0,0,0,1,0,1
365,5,doces maravilhosos pontualidade entregasna opinião quindim maravilhosomarcos sempre gentilo atendimento modo geral sensacionalnão doces sempre bate vontade mandamos mensagem vem rápido casa recomendo dúvidas,,415,14,77,3,0,464,6,0,0,0,1,77,0
365,5,quindim excelente qualidade saboroso medida verdadeiro quindim gourmet parabéns trabalho,,60,9,29,0,0,1,2,0,1,0,0,3,0
365,5,super ágil entrega doces bons quindim melhor existe igual,,11,1,0,0,0,21,0,0,0,0,0,0,0
365,5,amamos doces atendimento vale pena,,25,14,1,0,0,181,2,0,0,0,2,1,0
365,5,null,,0,10,0,0,0,8,0,0,0,0,0,0,1
