tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
28,3,respondem msg,,6,1,0,0,0,2,0,0,1,0,0,0,1
90,1,loja provar produto péssimo atendimento primeiro porque gestante disseram havia banheiro utilizado local pudim servido pote plástico atendente afirmou ter prato pra servido desenformado marido pediu café servido copinho descartável resumo disponibilizam ambiente físico deveriam ter estrutura melhor atendimento clientes ter funcionários atenciosos educados melhor treinados atendimento público,,6,20,0,0,0,32,0,0,0,0,0,0,0
120,5,sensacional melhor pudim comeu,,70,9,3,0,0,199,2,0,0,0,0,0,0
150,5,bem gostoso pq fã pudim,,538,29,2329,77,0,472,4,0,2,0,1,5,0
210,1,pessimo atendimento descaso total cliente whatsapp ineficiente rude,,26,34,10,0,0,290,2,0,1,0,1,2,0
210,1,adianta modéstia melhor pudim pior atendimento whatsapp mundo quiser mande mensagem cinco dias antes morosidade respostas talvez vc termine pedido nesse prazo,,140,19,22,1,1,451,1,0,0,0,0,0,0
270,5,fã pudim conheci 13 lugares pudins vcs maravilhoso lisinho furinho sabor indescritível deu sentir qualidade bem técnica,,462,18,5,0,0,9,0,0,0,0,0,1,0
365,4,null,,38,169,2,0,0,1725,1,1,0,0,1,0,0
365,5,null,,38,46,4,1,0,102,1,0,0,0,0,0,0
365,5,melhor pudim faz jus nome,,21,44,3,0,0,61,0,0,0,0,0,0,0
365,5,delicioso produto,,21,2,5,0,0,67,0,0,0,0,1,0,0
365,4,experimentei tradicional fava baunilha explendido realmente gosto inigualável furinhos kkkk tb amaria problemas kkkkk faz jus nome dei presente tb amaram sacola pra viagem parece loja d jóias kkkk linda comi local pequeno mt confortável pq espaço pra comer realmente comi pé sai demora incomodou somente informação,,52,8,128,1,0,112,0,0,0,0,0,0,0
365,5,pudim delicioso atendimento nota 1000,,48,8,15,0,0,149,0,0,0,0,0,0,0
730,5,null,,8,32,2,0,0,9,0,0,0,0,1,0,0
730,5,null,,0,1,0,0,0,0,0,0,0,0,0,0,1
730,4,realmente saboroso,,821,233,430,25,0,13123,69,0,35,2,23,20,0
730,5,realmente pudim deuses,,38,32,57,0,0,54,0,0,0,0,0,1,0
730,5,bom recomendo potinhos pudim medida certa pessoa melhores tradicional chocolate belga,,394,3,21,1,0,3278,1,0,1,0,0,12,0
730,5,null,,5,14,5,0,0,58,0,0,0,0,0,0,0
730,5,melhor pudim mundo recomendo,,2,1,0,0,0,4,0,0,0,0,0,0,1
730,5,comprei 3 sabores diferentes delícia amei,,69,26,22,0,0,571,0,0,0,0,0,1,0
730,5,lugar legal atendimento excelente pudim melhor mundo todo,,17,2,0,0,0,14,1,0,0,0,0,0,0
