tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
uma semana atrás,5,,False,6,2,0,0,0,8,0,0,0,0,0,0,1
3 semanas atrás,5,,True,7,2,14,0,0,261,0,1,0,0,0,1,0
um mês atrás,1,"O atendimento do garçom é algo inacreditável nos dias atuais, má vontade, a pizza é “jogada “ no prato. Cinco atendentes que ficam esperando um ao outro. Hoje, 24/09/2024, mantendo esse atendimento, com muita mas muita boa vontade não chegam ao final de outubro aberto. Mas como na região tem muitas boas pizzarias, com certeza essa não vai fazer falta.",False,5,2,0,0,0,10,0,0,0,0,0,0,0
um mês atrás,3,"Estive no sábado, no novo endereço da brassi, infelizmente venho atualizar a minha avaliação.   Varias vezes estive no antigo endereço,  e sempre muito satisfeito. Contrario do último sábado ( 14/09) ontem. Infelismente 👎 em minha visita. Uma atendente nova ( nas mesas) totalmente despreparada, sem qualquer talento, em receber pessoas.  O bom é que tem o garçom ( da turma antiga),   simpatico e profissionalismo coo sempre. Conforme chegamos, ele nos recebeu ( como ja somos  conhecidos), se preocupou em  remanejar algumas mesas, e como estávamos somente, eu e a esposa;  pediu para a gente sentar-se. Quando surge esta nova atendente dizendo, estas mesas não pode; pois eu vou arrumar para estas outras pessoas(  aí já começou o constrangimento). O garçom ficou muito sem graça, mas contornou a situação, montou outra mesa. Agredido que , como ele deveria estar dando conta das maiorias das mesas, infelizmente não conseguiu nos dar atencao. Ficamos na mão da atendente, que simplesmente nos ignorou, servindo as pessoas que ela  havia acomodado( ao nosso lado); na sequência do outro lado, e nos deixou sentados sem qualquer atenção . Por volta de 10 minutos.   Bem não nos deu nem o cardápio; não tinha outra coisa a ser feita, se não se retiramos. Esperamos que estes delatos , seja acolhidos com a aceitação positiva.",True,112,189,13,0,2,2567,0,0,0,0,0,4,0
um mês atrás,5,Ótima pizzaria de bairro Uma das melhores massas da região,True,321,68,46,0,0,962,2,0,0,0,3,1,0
2 meses atrás,5,,True,16,358,41,0,0,450,0,0,2,0,75,0,0
2 meses atrás,5,,True,7,22,0,0,0,298,0,0,0,0,0,0,0
2 meses atrás,5,,True,1,4,0,0,0,6,0,0,0,0,0,0,0
2 meses atrás,5,,True,3,3,23,0,0,11,0,0,2,0,0,0,0
2 meses atrás,5,"Pizza deliciosa, atendimento rápido com pessoal atendido, vallet cortesia, lugar aconchegante... Gostamos muito",True,53,50,11,0,0,1094,3,0,2,0,0,8,0
2 meses atrás,5,,True,14,10,0,0,0,183,0,0,0,0,0,0,0
3 meses atrás,5,"Pizza muito recheada e maravilhosa!!! Ambiente agradavel, musica muito boa e ambiente, serviço excelente!!! Amamos!!!!!",True,130,1,104,0,0,88,0,0,1,0,0,2,0
3 meses atrás,5,,True,356,168,360,2,0,179,9,0,0,0,21,0,0
3 meses atrás,4,"Ambiente bem legal, agradável,  atendentes simpáticos. Pizza bem recheada, mas a massa deixa um pouco a desejar. Valete gratuito.  Bom lugar!",True,100,18,32,0,0,418,0,0,0,0,0,0,0
3 meses atrás,5,,True,6,28,4,0,0,64,1,0,0,0,0,0,0
3 meses atrás,5,"Música excelente, comida excepcional e ambiente maravilhoso!!!",False,1,0,0,0,0,5,0,0,0,0,0,0,0
3 meses atrás,5,"Excelente, pizza ótima!",True,90,87,176,9,0,59,0,0,0,0,0,5,0
3 meses atrás,5,"Confesso que foi a segunda vez que frequentei a Brassi....e novamente pude confirmar a elegância do local, a presteza de seus atendentes e a maravilhosa pizza e sobremesas que nos deliciamos!!! Parabéns !! Além disso, recomendo a visita aquela casa!!",True,56,0,0,0,0,1118,0,0,0,0,1,1,0
3 meses atrás,1,,True,3,5,0,0,0,3,0,0,0,0,0,0,1
3 meses atrás,3,,True,14,309,10,0,0,445,0,0,0,0,2,5,0
3 meses atrás,1,,False,0,1,0,0,0,0,0,0,0,0,0,0,1
3 meses atrás,1,,False,2,1,0,0,0,1,0,0,0,0,0,0,1
3 meses atrás,1,,False,1,1,0,0,0,0,0,0,0,0,0,0,1
3 meses atrás,1,A empresa não paga os prestadores de serviço e não dá nenhuma satisfação!,False,2,0,0,0,0,0,0,0,0,0,0,0,1
