tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
3 dias atrás,5,Maravilhoso! Do atendimento as comidas.,False,3,0,0,0,0,4,0,0,0,0,0,0,1
3 dias atrás,5,非常好吃的法餐，味道很地道，鹅肝，蜗牛，法式小羊排都很好吃，前餐面包也很好吃,True,17,3,101,6,1,107,0,0,0,0,0,0,0
5 dias atrás,5,"Experiência maravilhosa, ambiente e serviço legal,  comida maravilhosa,  tanto na apresentação quanto no sabor!!!",True,570,8,1674,113,0,4779,5,0,2,0,208,10,0
uma semana atrás,5,null,False,11,2,4,0,0,35,0,0,0,0,0,0,1
2 semanas atrás,5,null,False,5,8,1,0,0,19,0,0,0,0,0,0,1
um mês atrás,1,"Fui ontem, depois de ter jantado em outro restaurante, mas queria comer uma sobremesa bem comfort food e lembrei do creme bruleé de lá, que gostava muito. Pedi o cardápio de sobremesa ao garçom, porém ele me deixou no vácuo. A hostess percebeu e trouxe o cardápio. Depois levantei a mão de novo ao garçom para fazer o pedido e ele me ignorou, depois chamei de novo, dessa vez ele viu e disse para eu aguardar. Depois de pedirmos, ele nos mandou para o sofá, que até perecia uma boa ideia, mas depois percebemos que seria o lugar de espera para mesa e passagem das pessoas do salão. Ficamos constrangidos. Só não cancelei o pedido, porque estava constrangida. Preferia não ter comido os macarons. O creme bruleé até deixei um pouco. Pedimos a conta, que demorou para chegar e nesse meio tempo o nosso Uber chegou. Perguntamos sobre a conta, se estava vindo, disseram que sim. O Uber desistiu de esperar a gente e foi embora. Por mais que o ticket do nosso atendimento fosse baixo, ainda era receita entrando. Não deixaram de atender uma mesa com ticket maior para atender a nossa de ticket menor. Não tinha fila. Perderam futuras receitas, sendo que eu posso não ser a única que passou por isso, sendo o prejuízo de vocês maior. Sugiro que repensem a estratégia de atendimento, que deve estar impactando na receita de vocês. E como eu sou legal, poderia até deixar mais, mas vou deixar apenas duas dicas: os macarons do Paradis são melhores, se inspirem. Um dia, queria tomar um chá de infusão depois de um jantar. Achei o restaurante Osso. Eles não só nos deram chá, como deram um pão de calabresa cortesia com manteiga cremosa e foram simpáticos. Fora que o chá vinha com docinhos. Talvez por estar usando roupa comfy e não ostentar não tenha sido bem atendida, apesar de eu ter jantado no restaurante anterior Bluefin e ter sido vizinha de chef com Michelin. O tratamento para senhora do lado era Madame pra lá e para cá. Para um lugar que se propõe a ser refinado não há nada mais brega e cafona do que não tratar qualquer um bem. Gentileza com todos é uma das coisas mais lindas do mundo e no meu ranking de valores está acima de qualquer ganância, apesar de até dar mais dinheiro para quem tem noção de gestão. Esperarei que seja assim para todos para vivermos num mundo melhor. Apenas melhorem.",True,23,8,0,0,0,85,0,0,0,0,0,0,0
um mês atrás,5,null,False,5,3,0,0,0,7,0,0,0,0,0,0,1
um mês atrás,5,Otimo. Francesa tradicional. Quero voltar logo,True,57,45,73,0,0,149,0,0,0,0,0,0,0
um mês atrás,5,null,False,3,1,3,0,0,14,0,0,0,0,0,0,1
um mês atrás,5,Comida muito boa,True,75,4,0,0,0,589,0,0,0,0,0,0,0
um mês atrás,5,"Lugar bonito, elegante e descontraído ao mesmo tempo, playlist adorável, atendimento impecável e comida deliciosa. Eu acrescentaria um pouco mais no acompanhamento, mas comida francesa é isso. O molho e a carne divinos. Perfeito. E sem Glúten. A sobremesa, o clássico crème brûlée, estava maravilhoso. E o café vem acompanhado de macarrons. Acho que um dos melhores que já fui em SP, e demorei pra conhecer. Voltarei mais vezes. E o preço é compatível pro que oferece. E ainda dá pra tirar uma foto com um urso que fica numa mesa.",False,37,34,29,0,0,79,0,0,0,0,0,0,0
um mês atrás,5,"Excelente, como sempre!",False,6,0,0,0,0,9,0,0,0,0,0,0,1
um mês atrás,5,null,False,7,3,1,0,0,11,0,0,0,0,0,0,1
um mês atrás,3,"Excelente, exceto o toilette não ser acessível.  Uma escadaria, fim da picada",False,24,14,14,1,0,247,0,0,0,0,0,1,0
um mês atrás,4,null,True,270,23,1356,31,2,232,3,0,2,0,0,0,0
2 meses atrás,4,Atendimento excepcional Pratos muito bem elaborados Cadeiras desconfortáveis e mesas muito pequenas,True,73,6,338,2,1,111,0,0,1,0,0,0,0
2 meses atrás,5,null,False,4,5,0,0,0,16,0,0,0,0,0,0,1
2 meses atrás,5,null,True,7,34,71,0,0,117,0,0,0,0,0,0,0
2 meses atrás,4,null,True,68,245,0,0,0,638,2,0,0,0,0,0,0
2 meses atrás,5,null,False,1,1,0,0,0,0,0,0,0,0,0,0,1
2 meses atrás,4,"Ideal para um date, o restaurante conta com uma comida francesa muito bem executada e um cardápio que reflete essa fidelidade à gastronomia e à técnica. O filé que comi estava incrível, a sobremesa também, mas o restaurante cobra um preço meio desproporcional, se comparado a outros do mesmo calibre. O atendimento foi um ponto alto e o ambiente é muito muito charmoso.",True,173,289,829,16,0,1712,12,0,6,0,15,0,0
2 meses atrás,5,A comida estava realmente excepcional. Atendimento educado e eficiente. Terraço lindo e charmoso.,False,1,0,0,0,0,7,0,0,0,0,0,0,1
2 meses atrás,5,Excelente,False,3,2,1,0,0,10,0,0,0,0,0,0,1
3 meses atrás,5,Restaurante absolutamente excepcional. Um dos melhores da minha vida. O macaron do Chef Rouge é tão bom que faz a Ladurée parecer um docinho do GRAAL.,True,9,3,1,0,0,13,0,0,0,0,0,0,1
3 meses atrás,5,"Um dos melhores restaurantes de São Paulo. Comida excelente. É caro? Sim, bem caro, mas entrega uma ótima experiência.",True,16,1,0,0,0,104,0,0,0,0,0,0,0
3 meses atrás,4,"Restaurante que comemorei 2 anos de namoro, muito gostoso, pratos bem executados, entrada o couvert bem gostoso e o eclair XXL maravilhoso, só o prato principal que não me agradou muito pelo ponto da carne vir apenas selado, nao era mal passado, era um carpaccio mesmo, somente selado, totalmente cru, e pedi ao ponto. Mas o atendimento, e todo o resto, perfeito!",True,74,1,11,1,0,482,0,0,0,0,1,0,0
4 meses atrás,5,Um dos melhores restaurantes da cidade de São Paulo (para o meu gosto e estilo). Vale muito a pena. Vale o que se paga.,True,12,17,15,0,0,37,0,0,0,0,0,0,0
4 meses atrás,5,"Comida, atendimento e ambiente sempre incriveis ja fui muitas vezes e sempre é impecavel",False,4,2,2,0,0,11,1,0,1,0,0,0,0
4 meses atrás,5,Sensacional! Retornarei em breve,True,7,3,0,0,0,20,0,0,0,0,0,0,1
4 meses atrás,5,null,True,1,30,0,0,0,73,0,0,0,0,0,0,0
4 meses atrás,5,"Ambiente charmoso com um cardápio elegante e saboroso. O couvert já chega com pães artesanais, de consistência tenra e uma leve acidez, com manteiga, creme, patê de fígado e um punhado de sal.  Carta de vinhos ampla, focada nos rótulos franceses, a partir de 250 Reais. Serviço atencioso. Pratos bem apresentados e execução primorosa.  O café fecha bem a experiência, acompanhado de Macarons para fazer sorrir.  Excelente!",True,672,1,6580,2158,0,1842,31,0,7,0,14,5,0
4 meses atrás,4,"Muito bom. Cumpre o papel que se propoe, um bom restaurante refinado e saboroso. Time muito bem treinado. Voltarei.",True,211,5,1,0,0,176,0,0,0,0,0,1,0
5 meses atrás,5,null,True,2,35,0,0,0,1185,0,0,0,0,0,1,0
5 meses atrás,5,null,False,0,2,0,0,0,3,0,0,0,0,0,0,1
5 meses atrás,5,null,False,0,3,0,0,0,3,0,0,0,0,0,0,1
5 meses atrás,5,Excellent place. One of the best French restaurants in São Paulo.,True,241,151,5648,2,1,241,4,0,5,0,10,2,0
5 meses atrás,5,Het beste en echt gezelligste (franse) restaurant van SP!,False,7,5,0,0,0,49,0,0,0,0,0,0,0
5 meses atrás,5,"O atendimento encanta! Principalmente pelo maitre, que é um senhor de extrema educação e zelo com os clientes. Você se sente muito bem no Chef Rouge, recebendo o cuidado da primorosa equipe. A comida é boa, nada que vá mudar sua vida. Grandes clássicos franceses saem corretos, mas sem encanto. Falta um pouco de alma e vida. Minha única crítica fica em relação ao batalhão de faria limers que frequentam o lugar, com seus papos chatos e ruidosos. Claro, o restaurante não tem culpa disso. Couvert com bom pão de fermentação natural, manteiga e pate de foie incríveis. Entradas de vieiras grelhadas e sopa de cebola estavam apenas boas. Pratos principais foram na linha das entradas - bons. Filet aux trois sauces e filet rossini. A sobremesa se destaca com o ótimo Eclair XXL (realmente é para dividir).  Minha dica: vá sem medo! mas leve um fone de ouvido talvez hahaha  1063 reais gastos em dois. Couvert, entradas, pratos principais e uma sobremesa. Agradeço pela gentileza dos macarons que o maitre nos fez.",False,6,1,1,0,0,7,0,0,0,0,0,0,1
5 meses atrás,1,"Passando mal com intoxicação alimentar após comer o polvo desse restaurante, no geral outros pratos sem tempero",False,1,0,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,3,0,0,0,7,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,2,0,0,0,0,0,0,1,0,0,0,1
6 meses atrás,5,"Ambiente agradável, e um menu digno de um Rei. Voltarei em breve.",False,9,0,1,0,0,14,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,1,0,0,0,5,0,0,0,0,0,0,1
6 meses atrás,5,"Minha experiência foi ótima, boa comida e excelente atendimento.",True,1,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,1,"Não possui acessibilidade. Portanto, caso não consiga subir 17 degraus de escada para ir ao banheiro, recomendo que não vá. Não atende pessoas cadeirantes e com dificuldade de locomoção. Uma lástima viver isso em 2024.",False,3,0,0,0,0,14,0,0,0,0,0,0,1
6 meses atrás,1,Orivel atendimento,False,1,3,1,0,0,11,0,0,0,0,0,0,1
6 meses atrás,5,null,False,4,1,1,0,0,16,0,0,0,0,0,0,1
6 meses atrás,5,Recomendo,True,1,7,0,0,0,51,0,0,0,0,1,0,0
6 meses atrás,5,null,False,1,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,0,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,2,2,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,True,12,5,13,1,0,57,0,0,0,0,0,0,0
6 meses atrás,1,null,True,0,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,5,"Muito bom, recomendo demais",False,4,1,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,null,True,1,3,0,0,0,56,0,0,0,0,0,0,1
6 meses atrás,5,null,True,78,18,128,1,0,393,2,0,0,0,41,3,0
6 meses atrás,5,null,True,11,5,0,0,0,10,0,0,0,0,0,0,1
6 meses atrás,5,Excelente,True,9,14,51,0,1,3,1,0,1,0,0,0,0
6 meses atrás,5,null,True,1,4,0,0,0,8,0,0,0,0,0,0,1
6 meses atrás,5,Ambiente bom é comida muita boa !,False,3,9,0,0,0,17,0,0,0,0,0,0,1
6 meses atrás,5,null,True,0,1,0,0,0,37,0,0,0,0,0,0,1
6 meses atrás,4,null,False,5,29,0,0,0,43,0,0,0,0,3,0,0
6 meses atrás,5,null,False,3,4,0,0,0,22,0,0,0,0,0,0,1
6 meses atrás,5,null,False,5,3,0,0,0,4,0,0,0,0,0,0,1
6 meses atrás,5,"Quero, com sinceridade, expressar minha gratidão, não somente pelo atendimento, mas pela experiência sublime que vivi ao lado da equipe. Cada momento foi como uma sinfonia de gentileza e cuidado, como um poema recitado com suavidade e harmonia.",True,7,0,1,0,0,4,1,0,0,0,0,0,1
6 meses atrás,5,null,True,1,1,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,Muito bom.,False,3,0,0,0,0,13,0,0,0,0,0,0,1
6 meses atrás,5,"Ótimo restaurante, um lugar agradável",True,11,10,1,0,0,257,0,0,0,0,0,0,0
6 meses atrás,5,null,False,5,1,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,3,0,0,0,3,0,0,0,0,0,0,1
6 meses atrás,5,Excelente,True,10,4,4,0,0,16,0,0,1,0,0,1,0
6 meses atrás,5,Ambiente incrível.,True,13,4,0,0,0,30,0,0,0,0,0,0,1
6 meses atrás,5,null,False,3,2,7,0,0,4,0,0,0,0,0,0,1
6 meses atrás,5,null,True,16,8,0,0,0,24,0,0,0,0,0,0,1
6 meses atrás,5,null,False,1,2,0,0,0,8,0,0,0,0,1,0,1
