tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
4,4,costumo sempre comer aqui bom desde limpeza razoável atendimento entretanto relação lanches dias bem feito outros bem mal feito falta molho reclamação pontual relação batata cheddar pago caro consta pedido batata grande entretanto insistem fazer batata média bemmpiuco cheddar consultei gerente diz saber batata grande veja média pago 4 reais menos logo grande cara gostaria observassem questão comparado república 10 estrelas,,99,36,89,11,1,399,5,0,0,0,0,2,0
21,1,péssimo atendimento funcionárias dão devida atenção além tornarem ambiente agradável cliente deixa meio ainda arrogante antipático,,2,0,2,0,0,10,0,0,0,0,0,0,1
30,3,fazem anos vou semanalmente nesse mc donalds sempre melhores trocaram funcionários ficou simplesmente horrível tudo agora vem errado lêem pedido pede pra refazer vem errado novo pedi lanche ketchup mostarda passaram papel pão entregaram restos atendente disse podia pedir sorvete área específica pedir moça disse quiosque outro andar pessimo,,2,5,0,0,0,8,0,0,0,0,0,0,0
30,1,agora atendente cara saco cheio quiosque térreo lado livraria,,41,1,4,0,0,42,0,0,0,0,0,0,0
60,5,costumo comer bastante frequência nessa unidade aqui shopping light lanche sempre veio tudo certinho hoje comprei porção nuggets venho bastante óleo solicitei gerente trocasse lanche perfeita gentileza pediu aguardasse local sentada trouxe troca mesa gostaria parabenizar gerente alexandre atendimento tão humano profissional longo dia trabalho extremamente gentil ainda ganhei molho extra percebeu metade,,77,15,46,2,0,691,5,0,1,0,0,8,0
60,4,colocam painel atendido rapidamente ficam chamando número conforme fica pronto causa confusão clientes altera estatísticas franquia,,132,38,69,0,0,651,2,0,0,0,0,15,0
60,1,péssimo atendimento ter esperar fila totem 8 pessoas pra pedir casquinha folga funcionários pedir demais,,4,0,0,0,0,19,0,0,0,0,0,0,1
60,3,painel autoatendimento funcionando direito,,21,3,33,4,0,48,2,0,1,0,0,1,0
90,5,null,,45,41,146,83,0,117,1,0,3,0,0,0,0
90,1,saudade época qualidade falava alto lanches preparados qualquer jeito duas últimas vezes vieram faltando ingredientes informaram tal treinamento verdade item prioridade,,194,32,12,0,0,1069,0,0,0,0,4,1,0
90,5,dia 12072024 20h30 atendidos rapaz faz sorvetes humano educado parabéns pena saber nome,,4,0,1,0,0,10,0,0,0,0,0,0,1
90,1,pior mc pior shopping atendimento péssimo lugar sujo respeitam horários funcionamento aqui descrito,,34,29,12,0,0,201,0,0,0,0,1,3,0
120,5,gostei bastante desse lugar,,46,13,0,0,0,508,0,0,0,0,0,1,0
120,1,irmão filha mc shopping light hoje volta 2030 fizemos pedido combo big tasty 3 duplo bacon 2 mc chicken batata cheddar bacon 2 batatas grandes 2 coca milk shake big tasty veio duplo bacon bacon lugar shake veio coca péssima atenção cuidado pois lanches vieram todos mal montados péssimo estado ia voltar lá devolver conta horário consegui atenção zero pois gastei valor relevante final vir pedido fizemos,,2,0,0,0,0,7,0,0,0,0,0,0,0
120,5,null,,5,6,0,0,0,3,0,0,0,0,0,0,1
120,1,1850 h hoje comprei top sunday quiosque mcdonalds piso térreo shopping light logo lado porta entrada quiosque empadas atendente mcdonalds disse chamar amanda sozinha tudo deu nota compra onde sei direito consumidor receber nota fiscal cupom fiscal disse máquina quebrada papel gerente sabia porém nada feito resolver problema assim recebi cupom nota compra funcionária amanda pega dinheiro mão higienizar faz sorvete entrega copo entrega guardanapos solicito guardanapos amanda explica acabou vez gerente tomou providências lamentável loja multinacional pessoas tão despreparadas mal treinadas gerente recepcionista fiquei nota cupom fiscal pegar guardanapo outro quiosque dinheiro treinamento funcionários dinheiro guardanapos parabéns tornar tão ruim recomendo ninguém,,166,18,7,0,0,909,1,0,0,0,8,8,0
120,5,null,,5,50,2,2,0,36,0,0,0,0,1,0,0
180,5,tudo sempre perfeito,,2,0,0,0,0,5,0,0,0,0,0,0,1
180,1,null,,6,27,0,0,0,36,0,0,0,0,0,0,0
