tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
1,5,sempre vou pari almoço cheiab melhor shawarma existe todos educados atenciosos produtos frescos deliciosos preço honesto semana estarei aí novamente,,60,1,0,0,0,420,0,0,0,0,0,2,0
30,5,null,,26,41,49,2,0,40,0,0,0,0,0,0,0
60,4,lugar bem simples melhor schwarma,,3,4,0,0,0,9,0,0,0,0,0,0,1
60,5,null,,1,21,0,0,0,82,0,0,0,0,0,0,0
60,5,null,,19,119,0,0,0,560,0,0,1,0,13,0,0
60,5,null,,22,63,6,0,0,65,0,0,0,0,0,0,0
60,5,null,,105,118,295,0,1,1595,0,0,0,0,57,0,0
90,5,null,,143,40,767,5,0,920,0,0,1,0,2,1,0
90,1,null,,20,7,3,0,0,4,0,0,0,0,0,0,0
90,5,doces árabes deliciosos foto pistache preferido super crocante fresco bem recheado ótimo custo benefício várias opções produtos além salgados poderia ter etiquetas preços facilita pra ter perguntar,,85,0,292,37,0,482,0,0,0,0,2,0,0
90,5,null,,6,40,16,0,0,42,0,0,0,0,0,0,0
90,5,preço bom comida excelente,,31,11,5,0,0,515,0,0,0,0,0,1,0
120,5,família domingo bem atendidos excelente variedade produtos doces deliciosos cervejas libanesas tb outra novidade ótimas recomendo,,71,0,57,0,3,245,1,0,1,0,0,0,0
120,5,null,,4,1,0,0,0,6,0,0,1,0,2,1,0
120,5,educadissimos,,490,22,541,11,3,3930,0,0,0,0,4,21,0
120,5,delícia atendimento bom lugar lindo satisfaz,,146,0,101,1,1,99,2,0,2,0,0,1,0
150,3,null,,3,11,0,0,0,69,0,0,0,0,0,0,0
150,5,null,,3,63,0,0,0,38,0,0,0,0,0,0,0
150,5,null,,35,187,80,1,0,972,1,0,1,0,0,2,0
150,5,bom obrigado,,1,1,0,0,0,3,0,0,0,0,0,0,1
180,5,doces produtos manipulados sempre qualidade frescos bom variedades produtos libaneses vale ir conferir aprecia culinária tb comidas café servidos local,,403,6,288,0,0,1665,0,0,0,0,0,8,0
180,5,bernardo campo faz muitos anos frequento local sempre vou brás compro pão sírio doces árabes esposa aprendeu gostar pão sírio comigo compro cheaib super indico,,231,1,673,45,1,172,2,0,0,0,0,97,0
180,5,adorei,,57,51,2,0,0,655,0,0,0,0,4,1,0
180,5,null,,35,31,150,11,3,708,0,0,2,0,0,0,0
210,5,proprietários simpáticos produtos qualidade bom preço,,65,18,7,0,0,217,0,0,0,0,1,1,0
210,5,doces bom,,9,14,0,0,0,15,0,0,0,0,0,0,1
210,5,doces incríveis melhor muita variedade sabores,,15,3,17,1,0,196,0,0,0,0,0,0,0
210,5,bom maravilhosa,,5,0,21,0,0,9,0,0,0,0,0,0,1
240,5,null,,5,3,0,0,0,3,0,0,0,0,0,0,1
240,5,null,,0,1,0,0,0,13,0,0,0,0,0,0,1
240,5,null,,26,32,125,0,7,618,1,0,1,0,0,1,0
240,5,null,,2,15,0,0,0,100,0,0,0,0,0,1,1
240,5,doces maravilhosos shawarma carne maravilhoso,,4,6,1,1,0,10,0,0,0,0,0,0,1
240,4,null,,22,130,3,0,0,654,0,0,0,0,0,0,0
270,5,null,,25,130,21,0,0,848,12,0,3,0,7,0,0
270,5,null,,311,211,4176,51,0,3039,0,0,1,0,1,2,0
270,5,null,,125,8,6,0,0,24,0,0,3,0,0,1,0
270,5,shawarma doces maravilhosos,,77,40,286,1,0,1881,0,0,0,0,0,7,0
270,5,awesome,,22,4,32,20,5,106,0,0,0,0,0,1,0
270,5,comi 3 shawarmas região dia conjunto sabor preço preço aqui melhor ampliaram espaço agora ar condicionado dentro espresso delícia pra gosta café acidez medida bastante variedade produtos árabes doces excelentes,,33,5,17,0,0,68,2,0,1,0,0,0,0
300,5,tudo gostoso amei almoçar local perfeito,,462,28,129,37,2,170,2,0,1,0,14,39,0
300,5,melhores doces árabes paulo café tbém surpreende preços baixos região,,81,13,7,0,0,694,2,0,0,0,0,0,0
300,4,lanches esfirras doces fantásticos lugar ficando pequeno sempre cheio parabéns qualidade,,855,22,1320,26,1,13490,1,0,1,0,0,82,0
300,5,null,,85,31,3,0,0,165,0,0,0,0,0,1,0
300,5,null,,134,128,2,0,0,6083,0,0,0,0,0,8,0
300,5,otimo,,71,8,0,1,0,775,0,0,0,0,0,0,0
300,5,null,,85,12,3,0,0,488,0,0,0,0,0,3,0
300,5,bom ótimo atendimento atenciosos recomendo,,287,97,2011,9,1,1147,3,0,3,0,0,17,0
300,5,excelentepode achar td quer,,40,20,0,0,0,293,0,0,0,0,0,0,0
330,5,null,,11,88,148,18,0,326,0,0,2,0,0,0,0
330,5,adorei descobrir maravilha oriente bem frente largo pari além magnífica doceria oferece toda variedade doces culinária árabe desde conhecidos raros local serve famoso shuwarma carne frango falafelfeito hora assim esfihas outros salgados ainda mercadinho muitos produtos típicos incluindo pães cereais temperos frutas secas bebidas utensílios domésticos único problema ar condicionado dando conta climatizar área restaurante ficado experimentar café cardamomo,,211,69,1579,14,1,265,2,0,2,0,6,68,0
330,5,ótimo lugar vários produtos excelente preço s,,48,6,0,0,0,522,0,0,0,0,0,2,0
330,4,comida doces salgados deliciosos bom atendimento boa localização restaurante mini empório muitos produtos libaneses inclusive importados,,1110,9,8111,1257,42,13579,224,1,64,0,151,427,0
330,5,null,,3,64,1,0,0,390,4,0,8,0,38,0,0
330,5,ótimo,,25,33,0,0,0,78,0,0,0,0,0,0,0
365,5,null,,3,5,0,0,0,9,0,0,0,0,0,0,1
365,5,lugar iguala anos frequento estabelecimento recomendo duvidaka vc pode encontrar docessalgadotemperos comidas arabes,,48,1,2,0,0,345,1,0,0,0,0,2,0
365,4,ótima comida atendimento,,9,43,0,0,0,647,0,0,0,0,2,0,0
365,5,lugar ótimo comida falar mercadinho,,149,122,215,1,0,270,0,0,5,0,12,27,0
365,4,boas opções doces árabes,,640,496,83,1,0,1792,3,0,1,0,5,0,0
365,5,null,,13,40,5,0,0,358,0,0,0,0,0,1,0
365,5,null,,95,122,8,0,0,1654,0,0,0,0,0,0,0
365,5,amo guloseimas deste lugar,,49,69,4,0,0,353,0,0,0,0,7,1,0
365,5,null,,15,46,0,0,0,140,0,0,0,0,0,0,0
365,4,reformaram local agora lugar espaçoso sentar degustar delicioso shawarma doces divinos,,55,32,84,4,0,72,0,0,0,0,0,2,0
365,5,null,,17,132,0,0,0,716,2,0,0,0,1,0,0
365,5,execelente,,72,2,21,0,0,868,1,0,0,0,0,1,0
365,5,null,,7,2,0,0,0,7,0,0,0,0,0,1,1
365,3,null,,19,99,3,0,0,333,1,0,1,0,1,0,0
365,5,bom,,26,102,104,0,0,36,0,0,0,0,0,1,0
365,5,doces super saborosos,,24,40,44,0,0,217,0,0,0,0,0,3,0
365,3,proporção massa x carne achei tão interessante muita massa esfirra tempero carne legal shawarma bom,,575,1,1220,1,0,893,2,0,1,0,0,2,0
365,5,null,,115,206,426,21,3,46,25,0,3,0,0,1,0
365,5,ótima opção alimentação região local limpo agradável comida excelente doces incríveis vale pena visita,,14,3,3,1,0,180,0,0,0,0,0,0,0
365,4,homus coalhada pão sirio compro aqui,,381,53,21,0,0,121,0,0,0,0,3,107,0
365,5,doces frescos excelentes melhor café espresso sp delicioso mercado completo produtos comuns difíceis achar,,53,2,9,0,0,157,1,0,1,0,0,0,0
365,3,boa comida produtos venda precisa melhorarem atendimento dinâmico ágil recomendo vale pena,,249,0,44,0,0,884,0,0,0,0,0,3,0
365,5,null,,0,22,0,0,0,23,0,0,0,0,0,0,1
365,3,null,,22,16,31,4,0,50,1,0,5,0,0,0,0
365,4,null,,3,27,0,0,0,318,0,0,0,0,0,1,0
365,4,fácil acesso bons produtos bom atendimento,,478,22,70,0,0,834,0,0,1,0,0,25,0
365,5,null,,4,43,0,0,0,21,0,0,0,0,0,2,0
365,4,bom,,24,2,5,0,0,30,1,0,0,0,0,0,0
365,4,bom,,547,61,0,0,0,139,0,0,0,0,0,1,0
365,5,null,,42,20,10,0,0,109,1,0,0,0,1,0,0
365,5,passei experimentar doces totalmente atenciosos prestativos atendimento nota 10,,70,48,131,0,0,344,0,0,0,0,0,4,0
365,4,null,,40,117,0,0,0,384,26,0,0,0,0,0,0
365,5,doces árabes frescos diferencial anos cair qualidade,,6,17,0,0,0,31,0,0,0,0,0,0,0
365,5,null,,29,46,50,1,0,147,0,0,0,0,0,3,0
365,5,null,,118,193,72,0,0,828,7,1,0,0,4,21,0
365,5,completa doceria lanchonete mercearia árabe libanesa paulo,,11,1,4,0,0,166,1,0,0,0,0,1,0
365,5,null,,24,172,0,0,0,1177,0,0,0,0,2,0,0
365,5,null,,26,77,7,0,0,102,1,0,0,0,0,1,0
365,5,comida boa variedade sabores atendimento super bom pessoal atencioso,,4,0,0,0,0,13,0,0,0,0,0,0,1
365,5,null,,1,34,113,0,0,142,0,0,0,0,0,0,0
365,5,doces árabes melhor qualidade reforma recente agora espaço degustar delícias libanesas doces esfihas kines shawarma,,91,75,99,2,0,792,3,0,2,0,0,7,0
365,4,null,,13,16,2,0,0,161,1,0,0,0,1,0,0
365,5,null,,1,15,18,3,0,10,0,0,0,0,0,0,0
365,4,ambiente simples bom,,93,20,38,0,0,193,0,0,0,0,0,0,0
365,4,null,,89,11,269,6,0,616,0,0,0,0,0,8,0
365,5,top amo vir aqui,,39,49,8,0,0,763,1,0,2,0,1,4,0
365,5,bons produtos preços aumentou tamanho operação perder qualidade recomendável,,406,121,1017,49,2,952,1,0,1,0,0,3,0
365,5,lanche melhor,,53,17,219,12,0,671,1,0,1,0,3,4,0
365,3,null,,134,17,63,5,0,123,3,0,1,0,0,3,0
365,5,coisa libanais,,88,11,64,2,0,526,1,0,0,0,1,0,0
730,5,null,,5,35,3,0,0,28,2,0,0,0,0,0,0
730,5,doces árabes maravilhososvale pena conhecer região,,26,21,1,0,0,257,0,0,0,0,0,0,0
730,3,null,,27,138,45,3,1,6,5,1,3,0,15,1,0
730,5,null,,2,3,12,0,0,36,5,0,3,0,0,0,0
730,5,ah fantástica casa serviços doces maravilhosos,,13,6,0,0,0,7,0,0,0,0,0,0,1
730,5,bom qualidade preço,,63,91,12,0,0,1443,0,0,0,0,0,5,0
730,5,null,,21,79,0,0,0,286,0,0,0,0,0,7,0
730,5,show doces salgados árabes parada obrigatória gosta,,121,2,2,0,0,779,1,0,0,0,3,10,0
730,5,bom vale pena conhecer,,1086,3,1279,204,0,13549,99,0,8,0,66,8,0
730,5,bom atendimento ótimos produtos,,285,3,91,1,1,1720,1,0,0,0,0,2,0
730,4,gosto área doces sempre bem feitos parte salgado esfira gostosa,,48,4,1,0,0,36,0,0,0,0,0,1,0
730,5,null,,2,24,0,0,0,20,0,0,0,0,3,0,1
