tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
2 semanas atrás,1,"Experiência péssima! Me deram pão de queijo velho, está duro, horrível. Fora o atendimento que a pessoa não sabe nem os produtos que está vendendo, além de demorar um século …",True,28,0,7,0,0,25,0,0,0,0,0,0,0
2 semanas atrás,1,Os jovens que ficam lá deixam vc esperando  e fica batendo papo entre si.  Falta de higiene...batata muito ruim ...detestei este Mac...,True,14,4,0,0,0,209,0,0,0,0,1,3,0
3 semanas atrás,1,null,True,7,214,1,0,0,333,0,0,0,0,1,0,0
2 meses atrás,1,"Falta funcionários, pedi um pão de queijo, 10 minutos depois ele veio gelado e duro, pessoas despreparadas, muita demora no atendimento e todos revirando os olhos, uma má vontade pra atender os clientes, péssimo, não sei como esse MC sobreviveu tanto tempo aqui com esses funcionários péssimos",False,6,0,0,0,0,20,0,0,0,0,0,0,0
3 meses atrás,5,null,False,3,4,0,0,0,8,0,0,0,0,0,0,1
5 meses atrás,1,"Atendimento péssimo, e o que mais me surpreende é que a falta de educação e respeito com o cliente vem da supervisora Viviane , que era para dar o exemplo. Para fazer pedido no balcão é um pouco caso. Elas literalmente não gostam de atender e são super ignorantes. Péssima experiência , eu não recomendo a ninguém !",False,6,1,0,0,0,8,0,0,0,0,0,0,0
5 meses atrás,3,"Me desculpe a franqueza mas é muito desorganizado, todas as vezes que eu comprei lá em todas as vezes aconteceu algo. A última vez perdi um pouco a vontade de voltar.",True,55,6,2,0,0,1904,0,0,0,0,7,2,0
6 meses atrás,1,Triste igual todos,True,173,114,0,0,0,254,0,0,0,0,2,9,0
6 meses atrás,1,"Não tinha catchup, sanduiche veio todo bagunçado, o pão estava murcho e com pouco molho.",True,17,13,0,0,0,56,2,0,0,0,0,0,0
6 meses atrás,1,Atendimento muito ruim.,False,12,1,0,0,0,3,2,0,0,0,0,0,0
7 meses atrás,1,Péssimo atendimento e educação da atendente que entrega os pedidos no balcão. 30/03 21h30,False,3,0,0,0,0,9,0,0,0,0,0,0,1
