tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
6,4,null,,53,104,456,10,1,1552,6,0,2,0,9,0,0
30,5,comida extremamente maravilhosa saborosa espaço bem limpo,,5,1,0,0,0,5,0,0,0,0,0,0,1
60,5,almoço família pratos perfeitos paladar todos atendimento cordial atencioso recomendo,,5,4,2,0,0,6,0,0,0,0,0,0,1
60,5,certamente lugar veganos atendente recebeu péssima informações sobre possibilidades veganas cardápio interesse ajudar respostas simples sei pronto final restou apenas opção almoço hambúrguer quinoa pouco arroz purê cenouras gostoso porém gosto forte manteiga após ter avisado 3 vezes atendentes diferentes vegano ambiente clichê atendimento péssimo serviram manteiga vegano horrível,,23,1,5,0,0,195,1,0,1,0,2,0,0
90,5,null,,0,1,0,0,0,0,0,0,0,0,0,0,1
90,5,null,,3,20,1,0,0,56,0,0,0,0,0,0,0
150,4,lugarzinho bem ajeitado itaim bibi paralela faria lima mesas madeira muitas plantas achei ambiente super fofo confortável pequeno aconchegante servem menus entrada prato principal sobremesa preços variando r6000 r7000 opções diferentes comi entrada bruschetta roast beef maionese defumada rúcula perdiçao total maionese espetacular paillard mignon risoto funghi absurdo sabor forte bem acentuado cogumelos risoto amei file mignon corte super fino macio erro amei finalizei panacota cachaça calda rapadura top bem forte álcool equilibrada sabor creme panacota bem leve enfim todos pratos pedimos bons tirando entrada dadinho tapioca fria achei tudo maravilhoso verdade saint peter risoto limão siciliano conchiglione mignon funghi trufado molho queijos nuvem parmesão ceviche guacamole pudim cumaru pavê amendoim absurdo tudo delicioso serviço bom chegou tudo certo bem rápido pratos lindos porém 5 conta atendimento ok antipáticos cara fechada poucas palavras característica insatisfação viver geral conheçam vale siga pittaporai instagram,,308,3,3134,350,0,666,4,0,4,0,0,0,0
240,3,atendimento média preço alto padrões região comoda saborosa ambiente barulhento desconfortável,,123,49,95,0,0,474,0,0,0,0,1,1,0
270,5,almoço sábado delicia entradinha sobremesa todo maravilhoso,,19,0,0,0,0,8,2,0,1,0,0,0,0
300,5,null,,95,24,13,0,0,29,5,0,2,0,10,1,0
