tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
3 dias atrás,3,null,True,39,120,7,4,0,326,0,0,0,0,0,0,0
4 dias atrás,5,null,True,0,3,2,0,0,6,0,0,0,0,0,0,1
5 dias atrás,5,Uma das melhores pizzarias de São Paulo.,True,98,7,19,1,1,1053,0,0,0,0,0,0,0
5 dias atrás,3,"Serviço de delivery com atraso em mais de 30min, e pizza ainda veio errada.",False,1,0,0,0,0,5,3,0,1,0,0,0,0
2 semanas atrás,4,null,True,96,29,22,0,2,1869,0,0,0,0,0,1,0
2 semanas atrás,5,null,True,0,5,9,0,0,26,5,0,1,0,0,0,0
2 semanas atrás,5,"Para quem tem dúvida de comer pizza na Paulista , coma lá. As pizzas são ótimas e dá pra pegar até 3 sabores",True,8,0,1,0,0,20,0,0,0,0,0,0,0
2 semanas atrás,5,"Muito bom!!! Melhor pizzaria de SP! Um lugar muito agradável, atendimento excelente! Até o Chaves estava presente!!!! Parabéns a equipe",True,35,81,69,1,1,62,2,0,1,0,0,2,0
3 semanas atrás,5,null,True,3,6,2,0,0,85,0,0,0,0,0,0,0
3 semanas atrás,5,"O lugar é super aconchegante, localizado em uma casa antiga que manteve algumas estruturas. Pedi o rodízio de pizza e chegou bem rápido, escolhemos os sabores e eles trouxeram uma pizza com todos eles. Também tem pizza doce e o chocolate é muito bom. Pedi de ""sonho de valsa"", estava delicioso. Muito gostoso, quero voltar mais vezes. Garçons atenciosos.",True,329,4,1274,24,0,3457,33,0,14,0,50,88,0
4 semanas atrás,4,Excelente,True,4,1,0,0,0,10,0,0,0,0,0,0,1
um mês atrás,5,Local simples com excelente atendimento e ótima pizza,True,400,16,11,1,0,157,0,0,0,0,1,2,0
um mês atrás,5,"O local é muito aconchegante, ingredientes muito bons. Tive alguns atrasos com alguns pedidos mas não foi tão relevante para a experiência total.",True,18,11,7,0,0,140,4,0,4,0,0,0,0
um mês atrás,5,null,True,6,13,19,0,0,35,0,0,0,0,0,0,0
um mês atrás,5,null,True,1,23,9,0,0,217,0,0,0,0,0,0,0
um mês atrás,4,null,True,6,36,19,0,0,930,4,0,0,0,0,0,0
um mês atrás,4,"O lugar é uma graça, mas estava muito calor, os ventiladores não deram conta. Os garçons são perdidos, não anotam os pedidos e você fica esperando por um longo tempo, quando pergunta, dizem que esqueceram e aí finalmente trazem o pedido... Precisa de mais organização. A comida é boa, mas não tem muita quantidade nem variedade, dizem que são 36 sabores mas recebemos uns 10. As pizzas doces também não trouxeram... Poderia ser bem melhor. HORÁRIO: sábado/jantar.",True,17,7,2,0,0,79,0,0,0,0,0,0,0
um mês atrás,4,Comprei uma pizza para viagem. Boa relação custo benefício.,True,209,21,9,0,0,137,0,0,0,0,1,6,0
um mês atrás,5,null,False,5,2,0,0,0,8,0,0,0,0,1,0,1
2 meses atrás,4,null,True,11,59,33,0,0,319,4,0,2,0,4,0,0
2 meses atrás,5,"Ambiente super confortável, atendimento excelente, preços em conta.  Sem contar o sabor e a qualidade das pizzas.  Fui a um rodízio de pizza e adorei a experiência. Todas as pizzas que comi são deliciosas, e os colaboradores atendem super bem. São muito simpáticos e cordiais.  Com certeza eu voltarei em todas as oportunidades.",True,9,4,0,0,0,33,0,0,0,0,0,1,0
2 meses atrás,4,null,True,109,108,15,0,0,28,1,0,0,0,0,0,0
2 meses atrás,5,"Pizzas muito saborosas, feitas na hora, custo benefício muito bom e atendimento impecável! Recomendo para todos.",False,2,0,0,0,0,7,0,0,0,0,0,0,1
2 meses atrás,5,"Fui ao local por indicação de um amigo, bom ambiente, funcionários educados e ótima pizza, recomendo.",True,47,3,0,0,0,1285,0,0,0,0,0,1,0
2 meses atrás,5,null,True,44,32,41,1,0,260,1,0,0,0,20,1,0
2 meses atrás,3,null,True,4,611,763,2,0,3501,0,0,0,0,0,3,0
2 meses atrás,4,"Fui no rodízio  de pizza, possui diversos sabores. O atendimento não  é  dos melhores.",True,64,142,11,1,0,114,1,0,0,0,1,1,0
3 meses atrás,5,null,True,30,52,80,7,2,718,1,0,0,0,0,0,0
3 meses atrás,5,"Levado ao local pelo meu filho que já conhecia. Apesar de chegarmos próximo ao fechamento da casa, nós atenderam como se fosse um horário normal. Nos sentimos a vontade para consumir e obviamente respeitarmos o horário da casa. Tudo lá e bom. Se fosse mencionar poderia deixar de fazer juz a alguma coisa . Então vai lá conhecer !",True,29,4,15,1,0,71,0,0,1,0,0,0,0
3 meses atrás,5,Pizza saborosa e excelente atendimento!,True,28,11,9,0,0,2287,18,0,0,0,2,0,0
3 meses atrás,5,"Pizzas maravilhosas, e ótimo atendimento!",False,1,0,0,0,0,3,0,0,0,0,0,0,1
3 meses atrás,5,"My favorite pizzeria in SP! Great cost-benefit. Charming place, very tasty pizzas and great service",False,2,0,0,0,0,6,0,0,0,0,0,0,1
3 meses atrás,5,Melhor pizza da região ! Custo- benefício que vale a pena! Recomendamos mil vezes,False,5,0,0,0,0,25,0,0,0,0,0,0,0
3 meses atrás,4,null,True,15,129,19,1,0,33,0,0,0,0,0,0,0
3 meses atrás,2,"A fachada é bonita, a decoração clássica e aconchegante, toalhas de tecido nas mesas, porém a pizza foi abaixo do esperado. O serviço gentil e atencioso, mas falta treinamento básico no serviço do vinho, aliás pouquíssimas opções de vinho, todas muito simples e algumas em falta... nenhum grande problema se fosse um buteco, porém em uma pizzaria faz falta. Enfim, não agradou.",True,91,5,190,1,5,322,7,0,0,0,0,5,0
3 meses atrás,1,"Acabo de sair do local. Um garçom meio careca e meio gordo. Tira a cerveja e o refrigerante. Deixa no balcão esperando, enquanto anda pelo salão. Uma senhora gentil pergunta se queremos bebida e mostro que o meu pedido está esquentando no balcão. Ela vai pegar. E o garçom intercepta e deixa esperando agora na mesa. Desisto. Vamos embora. Após esse desastroso serviço. Entro em outro restaurante a menos de 100 metros. E o serviço é ótimo.",True,1,0,0,0,0,2,0,0,1,0,0,0,0
3 meses atrás,5,Ótimo ambiente,True,536,4,1198,1,0,5469,0,0,0,0,1,23,0
3 meses atrás,5,"Excelente pizza, ótimo preço, com bom  atendimento no local, espaço familiar. Serviço rápido para entregas, com ingredientes de qualidade.",True,27,46,49,0,0,1234,0,0,0,0,0,0,0
4 meses atrás,5,null,True,82,31,172,3,0,285,0,0,0,0,0,8,0
4 meses atrás,4,null,True,40,99,8,0,0,92,0,0,0,0,8,2,0
4 meses atrás,5,Perfeito! Massa leve e saborosa.. ❤️,True,1,1,0,0,0,4,0,0,0,0,0,0,1
4 meses atrás,5,null,False,2,3,0,0,0,5,0,0,0,0,0,0,1
4 meses atrás,5,Atendimento rápido! Comida boa! Ambiente com arquitetura e decoração diferenciada! Muito bom!,True,2,0,1,0,0,7,0,0,1,0,0,0,0
4 meses atrás,5,"Ambiente agradável, atendimento excelente e pizzas saborosas com ingredientes de qualidade. Não deixem de experimentar a pizza de chocolate com sorvete, divina.",False,4,0,0,0,0,9,0,0,0,0,0,0,0
4 meses atrás,5,"Recomendo a todos ambiente agradável , mais de 20 sabores de pizza salgadas inclusive pizza doce ,não deixe de experimentar a pizza de beringela nunca vi nada igual e para finalizar a pizza doce chocolate com morango e um bola de sorteve espetacular !!!!!!!!!!",True,7,0,7,0,0,7,0,0,0,0,0,0,0
4 meses atrás,4,null,True,177,149,45,5,0,731,0,0,0,0,5,0,0
4 meses atrás,5,Atendimento e qualidade excelentes,True,8,5,2,0,0,28,0,0,0,0,0,0,1
4 meses atrás,5,null,True,10,68,0,0,0,576,10,0,5,0,0,0,0
5 meses atrás,5,"Muito boa massa, bom atendimento e preço acessivel. Recomendo.",True,138,1,117,0,0,775,0,0,0,0,0,1,0
5 meses atrás,5,Legítima pizza italiana a um preço razoável. Excelente atendimento.,True,129,19,192,0,0,1325,0,0,0,0,0,6,0
5 meses atrás,5,null,False,5,4,1,0,0,15,0,0,0,0,0,0,1
5 meses atrás,5,Atendimento e comida boa!,False,13,47,0,0,0,67,0,0,0,0,0,0,0
5 meses atrás,4,null,True,14,52,1,0,0,38,1,0,0,0,2,0,0
5 meses atrás,5,Top demais o serviço,False,1,0,0,0,0,3,0,0,0,0,0,0,1
5 meses atrás,5,null,True,52,9,13,0,0,30,1,0,0,0,2,0,0
5 meses atrás,5,null,True,34,40,17,1,0,230,2,0,0,0,0,0,0
5 meses atrás,2,null,False,2,6,0,0,0,41,0,0,0,0,0,0,1
5 meses atrás,4,"Um clima de que queriam que fossemos embora, mas de resto, tudo perfeito!!",True,52,9,27,2,0,529,2,0,0,0,0,2,0
5 meses atrás,4,Ótimo lugar. Venham conhecer.#pizzaaaiiiii,True,93,13,160,0,2,266,0,0,1,0,0,0,0
5 meses atrás,5,null,True,3,95,9,0,0,291,0,0,0,0,0,0,0
6 meses atrás,3,null,False,0,1,0,0,0,0,0,0,0,0,0,0,1
6 meses atrás,2,null,False,2,4,0,0,0,19,0,0,0,0,0,0,1
6 meses atrás,5,"Pizza excelente, ambiente agradável e preço justo.",False,1,4,0,0,0,9,0,0,0,0,0,0,0
6 meses atrás,5,Atendimento excelente. Rodízio de qualidade e bem servido. Voltaremos mais vezes!,False,5,0,0,0,0,6,0,0,0,0,0,0,1
6 meses atrás,5,"Atendimento muito aconchegante, comida boa e muito rápida",True,5,7,2,0,0,195,0,0,0,0,0,0,0
6 meses atrás,5,null,True,4,41,0,0,0,158,0,0,0,0,0,0,0
6 meses atrás,4,"O serviço é o ambiente são excelentes, a pizza é mto boa, ei gosto um pouco mais fina a massa, mas é meu gosto. Tdo correto, bons ingredientes",True,1616,18,2480,63,2,10578,114,0,11,0,51,56,0
