tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
7,1,pessimo atendimento funcionários gerente fernanda mal educados tratando clientes total descaso responsabilizam pedidos feitos site mcdonalds donalds delivery falam motoboy entregam produto problema cliente porém contrata motoboy próprio mcdonalds donalds pessoalmente loja conversar após 2h30min pedido feito falaram podiam fazer nada entregar pedido pessimismo tudo pretendo nunca voltar lá,,3,0,0,0,0,12,0,0,0,0,0,0,0
14,5,null,,4,19,2,0,0,431,0,0,0,0,0,1,0
14,1,null,,6,3,0,0,0,20,0,0,0,0,0,0,1
30,1,duas vezes tentei comprar lanche vou embora conseguir mac donald instalou painéis eletrônicos economizar funcionários 3 acha todos saber ter tecnologia pedir painéis lembrando lei obrigue fazer curso comer lanche empresa respeita consumidor recomendo,,63,3,2,0,0,166,0,0,0,0,0,1,0
30,5,null,,110,272,0,0,0,41,0,0,0,0,2,1,0
30,1,horrível filha fez pedido ifood sanduíches batata frita frias vieram cocas veio colher sundae sundae veio totalmente errado orei mac flurry kopenhagen choco cream veio sundae normal quase todo derretido sei demorou mac entregar motoboy motoboy demorou pra chegar pessima experiência cada vez vejo qualidade produtos serviços decaem ninguém preza qualidade lamentável época mc excelência qualidade produtos atendimento,,18,8,2,0,0,197,0,0,0,0,0,1,0
30,5,null,,12,11,0,0,0,42,0,0,0,0,0,0,0
30,1,experiência horrível pedido feito mc delivery enviaram pedido aberto entregue dois sanduíches chegando somente milkshake batata nota constava pedido completo pedi estorno ambiente disponibilizam formato formulário totalmente ineficiente pois feito três tentativas onde alegavam falta informações tendo fotos nota print app foto embalagem lanches recomendo,,18,7,8,0,0,31,0,0,0,0,0,0,0
30,1,dia 05092024 volta 12h50 13h colega horário almoço mc donalds passeo alto nações localizado próximo estação granja julieta fila enorme horário almoço gerente loja passou fila indicando fizéssemos compra através aplicativo mequi amiga aplicativo fez solicitação porém pedido saiu loja última compra fez loja shopping interlagos gerente ver poderia feito havíamos pedido fome inviável ir granja julieta shopping interlagos buscar pedido além precisaríamos voltar trabalho gerente sugeriu chamar suporte whatsapp fizemos solicitação reembolso presente momento 1309 reembolsadas garantiram 7 dias devolveriam dinheiro indignada empresa desse porte devolvem dinheiro cliente recebeu pedido registro reclamação aguardando estorno torcendo ter tomar medidas legais,,24,19,8,4,0,176,0,0,0,0,0,1,0
30,5,null,,2,23,0,0,0,156,0,0,0,0,0,0,0
60,2,fiz pedido sanduíche filho viesse ketchup viemos casa abrir sanduíche ketchup imaginem frustração criança péssimo cuidado pedido cliente,,14,0,3,0,0,18,0,0,0,0,0,0,0
90,5,null,,62,7,2,0,0,6,0,0,0,0,15,8,0
90,1,alguns funcionários mal educados postura profissionalficam tirando onda pessoas clientes,,108,31,16,0,0,166,6,0,0,0,0,3,0
120,5,excelente atendimento tude quente mc fish,,11,39,1,0,0,234,1,0,0,0,0,0,0
180,5,null,,56,208,144,2,0,2344,1,0,1,0,1,11,0
210,3,peçam mcflurry diamante negro horrível colocam calda endurece portanto deixa sorvete cremoso basicamente 1500 pra ter sabor casquinha ridículo pedi pra moça adicionar calda pagando obviamente disse sistema permite,,9,0,9,1,0,15,0,0,0,0,0,0,0
210,1,mcdonalds lento ia vi pedido demorou meia hora pedido simples ainda veio sanduíche carne ressecada,,67,15,9,0,0,460,1,0,0,0,7,1,0
240,5,null,,6,6,0,0,0,12,1,0,0,0,0,0,1
240,1,null,,3,5,0,0,0,18,0,0,0,0,0,0,1
300,1,funciona acordo humor gerente 2125 fechado,,26,32,5,0,0,200,2,0,0,0,0,0,0
330,1,fiz dois pedidos ifood começo noite ambos vieram faltando ítens loja ifood responsabilizaram prejuízo cliente atentemse,,18,8,6,0,0,279,0,0,0,0,5,0,0
365,1,dia 1609 comprei lanche efetuar pagamento percebi debitado duas vezes chamei gerente luciana mostrei ocorrido solicitei estorno segundo possível realizar estorno debitado conta fez preencher planilha várias informações passado mês ocorrido retornei estabelecimento nada resolvido absurdo descaso consumidor,,8,3,2,0,0,7,0,0,0,0,0,0,0
365,1,péssimo nunca vi mc donalds demorar tanto pra liberar pedido recomendo,,11,2,0,0,0,16,1,0,0,0,0,0,0
365,1,null,,89,7,1,0,0,152,4,0,0,0,0,1,0
365,1,demorado delivery,,129,56,14,0,0,174,21,0,8,0,8,20,0
365,1,dois funcionários param conversar brincar enquanto lanches atrasam mcdonalds novo complexo horrível atendimento,,45,149,8,0,0,45,1,0,1,0,1,2,0
365,1,lanche veio todo errado aplicativo ifood opção falar direto mc agora lanche pedi pq consigo devolver pedir trocar inacreditável,,1,0,0,0,0,0,0,0,0,0,0,0,0
365,5,gosto atendimento ágil atenciosos,,86,24,137,5,0,595,0,0,0,0,10,5,0
365,3,pode faltar ketchup lanchonete pior atitude gerente joel limitou dizer caminhão atrasou posso fazer nada pode sim bom início respeitoso clientes reconhecer erro pedir desculpas faz bem absoluta falta treinamento grande atendimento mcdonalds parabéns,,805,13,3230,31,0,2377,11,0,18,0,17,4,0
365,5,bom,,7,9,0,0,0,3,0,0,0,0,0,3,0
365,5,bom,,21,2,17,0,1,248,1,0,0,0,0,1,0
730,3,null,,16,37,18,0,0,84,2,0,0,0,0,0,0
730,5,null,,16,4,1,0,0,7,0,0,0,0,0,0,1
730,5,null,,5,16,0,0,0,2,0,0,0,0,0,0,1
730,5,null,,97,86,30,0,0,591,2,0,2,0,14,2,0
730,5,ótimo atendimento,,1,26,3,0,0,54,0,0,0,0,0,0,0
730,5,null,,2,23,0,0,0,46,0,0,0,0,0,0,1
730,4,null,,10,26,4,0,0,197,0,0,0,0,1,0,0
730,5,atendimento bom rápido,,38,22,0,0,0,789,0,0,0,0,0,0,0
730,3,gerente dia mal educado avisaram alface fazer lanches ainda colocam batata grande autorização vc reclama fala okbque iram devolver dinheiro trocar batata sendo vc comendo bem frustrante,,18,62,5,0,0,32,0,0,0,0,0,1,0
730,2,null,,43,10,150,3,1,414,4,0,0,0,0,10,0
730,5,null,,2,5,0,0,0,65,0,0,0,0,0,0,1
730,4,lanche quente rápido deve atendimento vezes deixa desejar dá relevar,,54,16,1,1,0,1762,23,0,0,0,4,8,0
730,4,null,,7,179,391,0,0,3078,6,0,0,0,19,14,0
730,3,normal,,180,6,14,2,0,1680,0,0,0,0,0,4,0
730,5,null,,13,11,0,0,0,16,0,0,0,0,0,0,0
730,4,null,,5,8,2,7,0,184,0,0,0,0,2,0,0
730,5,null,,1,5,0,0,0,18,0,0,0,0,1,0,1
730,5,null,,48,53,64,14,0,393,0,0,1,0,0,0,0
730,4,null,,0,3,0,0,0,11,0,0,0,0,0,0,1
730,5,null,,9,246,202,5,0,785,0,0,0,0,0,1,0
730,5,restaurante conta ótimo atendimento café manhã bom preço bem acessível boa refeição iniciar dia,,275,8,5269,274,0,4459,430,0,14,0,262,21,0
730,5,null,,5,16,2,0,0,78,0,0,0,0,0,0,0
730,3,unidade peca atendimento tanto atendentes novos melhores antigos balcão antipáticos quanto montagem lanches tudo torto sorte estarem dentro mercado loja rua ia chover reclamações,,144,43,43,0,0,543,0,0,1,0,0,3,0
730,3,local prático precisam melhorar limpeza local mesas,,29,24,17,0,0,797,0,0,0,0,0,0,0
730,4,null,,4,33,0,0,0,144,0,0,1,0,0,0,0
730,5,null,,23,32,30,2,0,349,0,0,0,0,0,1,0
730,5,null,,9,26,0,0,0,109,0,0,0,0,1,3,0
730,5,null,,57,12,10,0,0,323,6,0,0,0,79,3,0
730,5,null,,0,42,0,0,0,19,0,0,0,0,0,0,1
730,5,boaa atendimento excelente,,11,15,4,0,0,44,0,0,0,0,0,1,0
730,5,null,,6,28,1,0,0,253,0,0,0,0,0,1,0
730,5,null,,1,13,0,0,0,30,1,0,0,0,0,0,1
730,4,padrão mc donalds comida devido alta demanda demora pouco pegar lanches,,23,12,41,0,0,390,0,0,0,0,1,1,0
730,5,atendentes atenciosos prestativos,,244,67,616,8,1,429,1,0,0,0,2,22,0
730,3,atendimento ok dão canudo pras crianças,,41,8,5,0,0,58,0,0,0,0,0,0,0
730,5,null,,0,8,0,0,0,6,0,0,0,0,0,1,1
730,5,null,,9,30,0,0,0,189,0,0,0,0,27,0,0
730,3,lugar limpo pedido rápido,,7,7,0,0,0,64,0,0,1,0,2,1,0
730,4,null,,60,116,87,4,0,414,2,0,2,0,2,0,0
730,4,null,,3,16,0,0,0,18,0,0,0,0,0,1,1
730,5,null,,0,38,0,0,0,131,0,0,0,0,0,0,1
730,4,null,,4,470,6,1,0,9217,2,0,0,0,2,4,0
730,5,null,,1,30,0,0,0,4,0,0,0,0,0,0,1
730,5,1儿童套餐很好吃适合作为早餐品尝量刚刚好价格才20巴币 2点个甜筒绝对是一天好心情的源泉 1 menu infantil delicioso adequado café manhã valor justo preço apenas 20 dólares 2 pedir cone definitivamente fonte bom humor dia,,58,7,207,0,0,72,0,0,0,0,0,1,0
730,5,única coisa deveriam arrumar colocar totem pedidos pra desafogar pouco fila porque atendido lento tendo sistema optimizaria,,23,0,6,0,0,26,0,0,0,0,2,1,0
730,4,falta totens pra facilitar atendimento havia tela pra acompanhar pedidos,,43,2,16,0,0,331,18,0,4,0,0,7,0
730,5,null,,11,1,1,0,0,42,0,0,0,0,0,0,0
730,5,null,,4,3,0,0,0,1,0,0,0,0,0,0,1
730,2,loja música chata alta reclama dão bola,,16,2,0,0,0,11,0,0,0,0,0,0,1
730,5,good the food is delicious,,115,3,166,9,0,1162,10,0,1,0,1,44,0
730,5,null,,87,84,451,1,1,958,0,0,0,0,7,7,0
730,4,null,,59,148,23,0,0,2950,2,0,0,0,10,4,0
730,5,null,,1,28,0,0,0,38,0,0,0,0,0,0,1
730,5,boa,,9,15,0,0,0,63,0,0,0,0,0,0,0
730,5,atendimento excelente rapidez entrega lanches,,77,115,13,2,0,1457,0,0,0,0,1,14,0
730,5,null,,90,33,2,2,0,447,0,0,0,0,0,5,0
730,5,atendimento top rápido pessoas educadas tudo limpo organizado,,34,1,49,0,0,1072,2,0,0,0,0,1,0
730,4,atendimento mecânico lanche bom padrão,,57,4,9,0,0,736,0,0,0,0,0,2,0
730,2,comida jogada atendimento demorado pouco funcionário demanda limpeza local passou longe padrão mcdonalds,,6,6,0,0,0,129,0,0,1,0,0,0,0
730,3,null,,2,63,9,0,0,33,0,0,0,0,3,0,0
730,3,atendimento rápido tempo espera demorado lanche gosto batata metade pagou,,87,28,372,0,0,53,5,0,11,0,17,7,0
730,5,rápido,,49,7,6,0,0,38,0,0,0,0,3,0,0
730,3,null,,1,18,0,0,0,57,0,0,0,0,0,0,1
