tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
90,2,razoável atendimento relativamente bom,,258,16,311,2,2,1067,1,0,0,0,0,0,0
270,4,null,,1,10,0,0,0,17,0,0,0,0,0,0,1
330,1,existe,,6,18,0,0,0,245,0,0,0,0,0,1,0
365,2,null,,1,6,0,0,0,15,4,0,0,0,0,0,1
1460,2,cheio lanches feitos qualquer jeito,,134,3,174,0,0,1050,0,0,0,0,0,1,0
1460,5,null,,0,51,0,0,0,0,0,0,1,0,2,0,0
1460,4,null,,150,269,4,0,4,5698,4,0,1,0,1,4,0
1460,5,null,,7,118,205,2,0,571,0,0,0,0,0,4,0
1460,4,gosta mc produtos bons sempre novidades,,112,7,49,9,0,4,33,0,5,0,345,23,0
1460,5,null,,19,308,7,0,0,573,7,0,0,0,0,0,0
1460,5,null,,16,214,88,1,0,125,0,0,0,0,0,0,0
1460,5,null,,1,106,0,0,0,212,0,0,0,0,0,0,0
1460,5,limpeza bom atendimento clássicos marca,,120,2,7,0,0,0,15,0,6,0,47,7,0
1460,5,null,,0,41,1,0,0,77,0,0,0,0,0,0,0
1460,5,null,,5,155,0,0,0,9,0,0,0,0,0,0,0
1460,5,null,,5,181,56,0,0,0,1,0,0,0,0,0,0
1460,5,null,,3,645,8,0,0,1679,1,0,0,0,6,0,0
1460,5,sempre amo,,312,8,7,0,0,182,0,0,0,0,0,2,0
1460,3,null,,383,229,454,17,2,198,1,0,0,0,19,8,0
1460,1,null,,34,283,18,8,0,642,0,0,0,0,0,1,0
1460,3,null,,44,36,17,1,0,8,1,0,0,0,37,1,0
1460,3,null,,14,55,3,0,0,55,0,0,0,0,0,0,0
1460,2,null,,15,407,25,0,0,0,0,0,0,0,1,0,0
1460,3,null,,6,92,0,0,0,0,0,0,0,0,0,0,0
1460,5,null,,81,319,152,0,0,1548,0,0,0,0,0,24,0
1460,5,null,,11,61,2,0,0,111,0,0,0,0,0,0,0
1460,5,null,,2,112,0,0,0,14,0,0,0,0,0,0,1
1460,4,null,,20,197,33,0,0,15,0,0,0,0,6,3,0
1460,5,null,,0,11,2,0,0,10,0,0,0,0,1,0,1
1460,4,bacana lanches bem frescos suculentos,,95,7,12,0,0,9,0,0,0,0,28,13,0
1825,4,null,,16,153,13,1,0,1110,1,0,1,0,108,4,0
1825,5,parabéns nota 10,,80,78,0,0,0,59,0,0,0,0,0,1,0
1825,5,null,,3,54,2,0,0,33,0,0,0,0,0,1,0
1825,5,null,,2,1,0,0,0,0,0,0,0,0,0,0,1
1825,1,mcdonalds endereço errado fica lado shopping jk fica outro lado marginal,,4,20,0,0,0,12,0,0,0,0,0,0,1
1825,4,null,,2,19,1,0,0,527,1,0,0,0,0,0,0
1825,5,recomendo bom lanche filmsepeliculas,,370,6,222,0,0,389,1,0,10,0,29,0,0
1825,5,ideal levar filho adolescente,,170,22,2,0,0,18,0,0,0,0,25,9,0
1825,5,null,,125,111,101,8,0,3572,0,0,0,0,111,3,0
1825,5,ótima loja mcdonalds lanches padrão rede,,234,17,31,25,0,1544,2,0,0,0,0,0,0
1825,5,null,,0,39,0,0,0,85,0,0,0,0,1,0,0
1825,5,null,,167,38,1513,5,0,950,39,0,1,0,39,108,0
1825,5,null,,31,28,0,0,0,1303,1,0,0,0,0,0,0
1825,5,perfeita,,137,39,3,0,0,0,5,0,0,0,3,1,0
1825,5,preço acessível,,174,83,543,8,0,2625,2,0,1,0,0,70,0
1825,4,null,,21,148,0,0,0,145,0,0,0,0,1,0,0
1825,4,null,,30,356,59,0,0,717,0,0,0,0,0,3,0
1825,5,,,191,36,210,2,0,1273,1,0,0,0,0,9,0
1825,5,null,,1,30,0,0,0,41,0,0,0,0,0,0,1
1825,5,null,,2,60,0,0,0,29,0,0,0,0,0,0,1
1825,4,null,,1,22,0,0,0,0,0,0,0,0,0,1,1
1825,5,adoroooo,,173,12,0,0,0,378,0,0,0,0,0,0,0
1825,5,null,,44,55,34,0,0,146,1,0,0,0,1,0,0
1825,4,null,,34,60,29,0,0,44,0,0,0,0,0,0,0
1825,5,fã mcdonalds,,246,28,67,0,0,2377,7,0,4,0,1,21,0
1825,5,adoro,,196,14,51,0,0,1980,0,0,0,0,3,6,0
1825,4,boas promoções espere junk food falta bebida refil,,9,6,0,0,0,30,0,0,0,0,0,0,0
1825,5,null,,16,31,0,0,0,0,0,0,0,0,0,0,0
1825,5,ótimo,,36,4,3,0,0,0,0,0,0,0,0,0,0
1825,3,padrão,,182,229,124,4,0,699,1,0,2,0,1,3,0
1825,2,ruim,,174,99,39,0,0,813,0,0,0,0,0,5,0
1825,3,null,,10,54,2,0,0,115,0,0,0,0,0,4,0
1825,3,null,,313,47,106,11,37,2320,6,0,5,0,0,3,0
1825,5,null,,2,153,7,0,1,327,0,0,0,0,6,1,0
1825,5,null,,131,45,6,0,1,7,7,0,5,0,34,2,0
1825,4,sempre bem vindo finalizar sextas ótimo,,12,16,3,0,0,57,0,0,0,0,0,1,0
1825,4,null,,4,6,1,0,0,43,0,0,0,0,0,0,1
1825,2,atendimento confuso poucos funcionários,,185,33,10,0,0,1548,1,0,0,0,2,14,0
