tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,perfil,Previsao_Fraude_RF
uma semana atrás,5,Extraordinário. Vale a pena experimentar,False,6,1,0,0,0,6,0,0,0,0,0,0,,1
2 semanas atrás,5,null,True,14,40,0,0,0,358,0,0,0,0,5,1,,0
3 semanas atrás,3,"Eu amo a Cakess e frequento o lugar há pelo menos 3 anos, quando eu descobri o bolo de nutella crocante e me apaixonei desde então. Infelizmente, não tem mais como ter uma boa experiência no local por conta do preço que só aumenta, e pelos tamanhos das porções, que só diminuem. Entendo o uso de bons ingredientes e cozinha especializada, mas não existe mais benefício para o cliente, que arca com a parte mais cara da relação. Uma pena.",True,40,2,10,0,0,170,12,0,0,0,0,0,,0
3 semanas atrás,5,null,False,0,2,0,0,0,0,0,0,0,0,0,0,,1
4 semanas atrás,5,null,False,7,73,0,0,0,39,0,0,0,0,0,0,,0
4 semanas atrás,3,"Bom vamos lá  1’ OBS: Ambiente Local bonito relativamente pequeno com arquitetura com muito detalhes em madeira e um toque de um amarela criando um ambiente aconchegante e tranquilo.  2’ Serviços Servido prestativo rápido e direto como deve ser (se leu aqui outras avaliações reclamando do serviço considere que tem muita gte se achando a estrelinha do local guilde do Google e está esperando ser bajulado é mimado igual vó faz com neto criado com Danoninho , falo isso pq tem gte avaliando sobre o que não sabe e sendo rude porque não foi bajulado ou acolhido, funcionando não terapeuta em babá de marmanjo ele atente serve e vai embora lógico com boa vontade e sorriso no rosto)  3’ custo benefício Se for considerar local e custo de ingredientes está justo e atende a proposta do local (não adiante querer avaliar um bolo de chocolate se as pessoas não sabe a diferença em um chocolate Nestlé e um CALEBAUT ) para fazer doces bolos tortas com estilo gourmet o nível de sabor tem que ser acentuado e o nível de açúcar menor que o normal pois sobressai o gosto e não açúcar, infelizmente o termo gourmet está sendo banalizado, então pela qualidade e diversidade de produtos e sabores apresenta bom custo benefício. Qualquer dúvida de valor coloquei o cardápio nas fotos da avaliação.  4’ Experiência e satisfação  Pedimos 1 bolo gelado dê coco 1 bolo ganache meio amargo 1 brownie de chocolate com sorvete de baunilha  O bolo gelado minha esposa que faz bolo e sabe apreciar , gostou muito textura sabor umidade etc O bolo de ganache eu achei muito bom , porém para meu gosto específico tinha ser mais amargo porém meu gosto de amargo não é comum pois sou diabético que como com o sabor mais amargo pela falta de açúcar e acabei  me acostumando , o sabor é bom textura e maciez um pouco mais pesado pois é multi fatiado e precisa ser uma massa amanteigada para dar estrutura (por isso não só criticar mas precisa saber o que está como é como é feito) e ganache estava bom mas não creio que seja CALEBAUT mas muito bom.",True,944,38,11453,201,0,1260,29,0,21,0,36,36,,0
um mês atrás,3,"Por trabalhar na região, estou sempre indo ao cakess. Sempre peço o bolo de brigadeiro com morango ou o bombom de morango, que estão sempre maravilhosos e no ponto, mas dessa vez resolvi experimentar algo diferente e optei por pedir o brownie, mas foi uma decepção.  Pelo preço, esperava algo de qualidade, mas estava sovado, com gosto de achocolatado e claramente mal feito. Pela reputação da loja, esperava muito mais, tanto nos ingredientes quanto no preparo. Infelizmente não valeu o preço :(",True,2,17,13,0,0,3,0,0,0,0,0,1,,0
um mês atrás,5,null,True,0,3,0,0,0,7,2,0,0,0,0,0,,1
um mês atrás,4,"Comer no Cakess é sempre certeza de comer bem. Mas já vou começar explicando as 4 estrelas:  fui com meu namorado e meu dog depois de caminhar uns 5km no minhocão. A atendente logo já ofereceu uma vasilha de água pro meu dog. Isso sim é atendimento pet friendly 💚 Ao fazer o pedido, pedimos um croque monsier que estava uma absolutamente incrível e um chá da casa. Pra acompanhar e já dar uma ajudada no calor (estamos vindo de dias com umidade super baixa), pedimos uma água da casa. Pra nossa surpresa, não é disponibilizado água da casa com a justificativa de ser um empreendimento pequeno. Convenhamos: não é um lugar barato de comer. Difícil de acreditar que um empreendimento no Higienópolis não sirva água da casa com essa justificativa. Fica registrado a única crítica, porque óbvio que ainda levamos um pedaço de bolo de Nutella crocante pra casa que de novo, sem surpresas estava maravilhoso.",True,52,4,127,5,0,246,0,0,0,0,0,1,,0
um mês atrás,3,"Fui buscar o meu bolo de aniversario de Nutella Crocante e tive que esperar por que venderam o meu bolo pra outra pessoa e fizeram um outro pra mim de última hora... Achei um pouco de descaso... quando fiz o pedido tinha deixado claro que era pra comemorar o meu aniversário e que eu sempre quis um bolo de Nutella pra essa data tão importante... Meu pai estava no carro me esperando, mas e se eu tivesse de Uber, por que só fui retirar o pedido... Pra vocês pode ser ""apenas mais um bolo"", mas pra quem consome é sempre algo a mais, ainda mais em data comemorativa... Fiquei meio decepcionada...",False,2,0,0,0,0,7,0,0,0,0,0,0,,0
um mês atrás,4,Adorei os bolos e a torta de frango :) 4 estrelas pois a máquina de café parou e fiquei sem meu café pra acompanhar meu 🍰 Bolinho vulcão de cenoura com a calda de brigadeiro uma delícia :),True,56,10,214,2,1,138,1,0,1,0,0,0,,0
um mês atrás,5,null,False,1,2,0,0,0,3,0,0,0,0,0,0,,1
um mês atrás,2,"Experiência negativa. A cozinha funciona até às 16:00hs, fomos de longe para conhecer o local e não podia pedir nada da cozinha🤦🏼, nada que solicitasse o serviço de copa. O café expresso não é bom, torra queimada, deixa um gosto muito amargo, vem primeiro que o pão de queijo, assim o café esfria. A minha companhia pediu um mocaccino, estava sem gosto de nada, pediu pra trocar, veio sem a calda de chocolate 🤷🏼 e volta de novo pra cozinha. Pra comer só pão de queijo ou quiche. Decidimos pela cesta de pão de queijo, vem 4 pãozinhos, caro e não é bom, meio borrachudo. Não gostei. Não me deixou uma boa impressão 😔.",True,83,1,6,0,0,1454,1,0,2,0,0,1,,0
um mês atrás,5,"Cakess e o paraíso dos bolos! A variedade de doces disponíveis é impressionante. Os bolos são deliciosos, feitos com ingredientes de alta qualidade e derretem na boca! O atendimento no local não é dos melhores, os funcionários precisam ser mais atenciosos e simpáticos! Pedimos uma bebida e não havia ingredientes para fazer na hora e só fomos avisados quando chegaram todos os pedidos na mesa. Desistimos de pedir algo mais elaborado pois teria demora e os pratos já estavam servidos. Fomos para comemorar um aniversário e o aniversariante ganhou um brigadeiro como cortesia, ainda tivemos o incômodo de mostrar documento para comprovação. Pedimos também por delivery e somos sempre presenteados com mimos por lá!  Voltaremos por conta dos doces pois o atendimento não é dos melhores.",False,12,6,0,0,0,30,0,0,0,0,0,0,,0
2 meses atrás,5,"Sempre que vamos somos bem atendidos. O ambiente é agradável e bem ventilado. Tem o doce do mês, que não está no cardápio fixo mas é sempre uma boa surpresa. Mas o meu preferido é o crocante de nutela!",False,10,4,0,0,0,5,0,0,0,0,0,0,,0
2 meses atrás,5,bolos DELICIOSOS e bem molhadinhos! o de casadinho é maravilhoso e é o meu preferido!,True,222,22,153,0,0,1201,1,0,0,0,0,0,,0
