tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
1,5,perfeito melhor bolo,,7,4,3,0,0,10,0,0,0,0,0,0,0
5,5,melhores experiências gastronômicas além lugar super instagramavel mega receptivo amei super recomendo quero voltar,,4,3,0,0,0,8,0,0,0,0,0,0,1
6,5,lugar mágico transforma transborda dia vou lá atendimento impecável ambiente lindíssimo delícias fala ganhou coraçãozinho exigente desde primeira vez visitei,,60,22,32,0,0,257,0,0,0,0,0,1,0
7,5,nota máximo daria amo tudo art gula desde atendimento ambiente principalmente comida,,3,0,1,0,0,7,0,0,0,0,0,0,1
7,5,maravilhoso,,68,34,8,0,0,160,2,0,1,0,0,1,0
7,5,tudo perfeito doces salgadossou suspeito falar tudo maravilhoso brigadeiro hummmmm rsrs decoração vi igual,,13,2,47,0,0,31,0,0,0,0,0,3,0
7,5,recomendo atendimento ímpar produtos excelentes ambiente familiar procurem gláucia pessoa igual,,213,19,3,0,0,70,0,0,0,0,1,11,0
7,5,lugar favorito moema,,1,2,0,0,0,16,0,0,0,0,0,0,1
7,5,null,,1,1,0,0,0,3,0,0,0,0,0,0,1
7,5,adoro tudo gostoso prático amo kit festa facilita demais vida,,37,16,5,0,0,45,0,0,0,0,0,0,0
7,5,lugar comida maravilhosasuper recomendo,,3,0,0,0,0,7,0,0,0,0,0,0,1
7,5,null,,0,1,0,0,0,7,0,0,0,0,0,0,1
7,5,top,,2,0,15,0,0,6,0,0,0,0,0,0,1
7,5,atendimento qualidade lugar sensacional café,,1,2,0,0,0,3,0,0,0,0,0,0,1
7,5,null,,0,1,0,0,0,3,0,0,0,0,0,0,1
7,5,art gula espaço agradável principalmente comida excelente sempre adequado decorações temáticas respectivas épocas contar ainda posso levar cachorrinha feliz ter estabelecimento assim bairro,,2,0,0,0,0,3,0,0,0,0,0,0,0
7,5,perfeito adorei espaço loja encantadora atendentes super atencioso parabéns,,1,0,2,0,0,9,0,0,0,0,0,0,1
7,5,ainda visitou artgula perdendo verdadeira experiência cada visita entrar pequeno paraíso doce vitrines repletas delícias bolos toasts doces dar água boca cada pedaço revela paixão cuidado equipe coloca cada receita além disso apresentação impecável decoração lugar rosa delicada linda deixem ir banheiro superior rss recomendo fortemente todos visitem comam,,1,0,0,0,0,4,0,0,0,0,0,0,1
7,5,null,,2,3,0,0,0,3,0,0,1,0,0,0,1
7,5,ótima,,38,10,15,0,0,10,0,0,0,0,0,0,0
7,5,atendimento comidas maravilhosos espaço liiindo demais amo ir lá vale pena,,3,0,0,0,0,16,0,0,0,0,0,0,1
7,5,null,,3,1,0,0,0,3,0,0,0,0,0,0,1
7,5,comida serviço ambiente impecáveis equipe atenciosa espaço instagramável confortável delícias diferenciadas recomendo,,1,0,0,0,0,4,0,0,0,0,0,0,1
7,5,experiência magnífica tudo gostoso atendimento simpático voltarei vezes,,5,7,1,0,0,13,5,0,0,0,0,0,0
7,5,ótima todos tratam gente super bemsobremesas maravilhosas,,1,0,0,0,0,7,0,0,0,0,0,0,1
7,5,lugar maravilhoso decoração linda atendimento ótimo cardápio completo vimos comida experiência vale cada centavo super indico,,5,0,7,0,0,24,0,0,0,0,0,0,0
7,5,null,,0,1,0,0,0,7,0,0,0,0,0,0,1
7,5,acho lugar lindo ótimo atendimento meninas simpáticas sempre compro mini hambúrguinhos salgadinhos,,1,0,5,0,0,7,0,0,0,0,0,0,1
7,5,bolos super gostosos falar doces,,1,0,0,0,0,3,0,0,0,0,0,0,1
7,5,lugar incrível super recomendo melhores bolos doces,,2,0,0,0,0,3,0,0,0,0,0,0,1
7,5,experiência única lugar aconchegante atendimento excepcional comida maravilhosa,,2,0,0,0,0,5,0,0,0,0,0,0,1
7,5,null,,0,2,0,0,0,12,0,0,0,0,0,0,1
7,5,lugar lindo doces deliciosos ótimo atendimento amei,,5,1,2,0,0,11,0,0,0,0,0,0,1
7,5,maravilhosa,,1,1,0,0,0,5,0,0,0,0,0,0,1
7,5,artgula ir doceirabistrô experiência humanidade envolvimento cliente torna amigo visita casa qualidade doces salgados servido deixa notado apreciado ambiente acolhedor charmoso bem cuidado abraço alma,,2,0,0,0,0,10,0,0,0,0,0,0,1
7,5,maravilhosa tudo bom,,4,3,0,0,0,3,0,0,0,0,0,0,1
7,5,lugar maravilhoso comida divina decoração ambiente sensacional tudo agradável busca lugar aconchegante artgula dúvida vc busca,,14,0,44,0,0,25,0,0,0,0,0,0,1
7,5,atendimento excelente meninas sempre bem educadas atendente bia atendimento maravilhoso atenção maravilhosa comida simplesmente maravilhoso coxinha bolinha queijo perfeito brigadeiro apaixonada ambiente perfeito maravilhoso energia leve ambiente lindo vale pena cochecer tudo perfeito,,2,0,0,0,0,7,0,0,0,0,0,0,1
7,5,incrível ambiente bem arejado local limpo produtos bem apresentados saborosos equipe ágil cordial fácil acesso ambiente bem familiar,,43,0,16,0,0,88,0,0,0,0,0,1,0
7,5,excelente qualidade produtos ótimo custo atendimento cordial nota 10,,7,2,0,0,0,9,0,0,0,0,0,1,1
7,5,null,,0,4,0,0,0,3,0,0,0,0,0,0,1
7,5,lugar maravilhoso ótimo atendimento,,40,78,36,2,1,774,0,0,0,0,0,1,0
7,5,simplesmente melhor local pra deliciar maravilhas doces salgados bolos cafés chocolate quente cobertura ambiente familiar pra lá aconchegante contar lindo recomendo olhos fechados,,8,20,6,0,0,189,1,0,0,0,0,0,0
7,5,vivemos experiência incrível além ambiente encantador comidas deliciosas atendimento sensacional,,1,0,0,0,0,5,0,0,0,0,0,0,1
7,5,cardápio amplo opções gostas tanto doces quanto salgadas equipe simpática prestativa próximo metrô moema decoração bonita ambiente limpo,,64,36,95,0,0,773,0,0,0,0,0,2,0
7,5,lugar aconchegante atendentes atenciosas doces salgados deliciosos experiência fantástica juntocom filha 5 anos,,1,0,0,0,0,4,0,0,0,0,0,0,1
7,5,null,,1,4,0,0,0,9,0,0,0,0,0,0,1
30,5,lugar maravilhoso doces salgados espetaculares atendimento nota 10,,10,0,1,0,0,9,0,0,0,0,0,1,0
60,5,conheci unidade morumbi park boa ótimas opções pedir ótimo ambiente ótimo atendimento querida jéssica filhos divertiram deliciaram delícias quiosque final voltei visitar unidade vezes,,1,1,0,0,0,5,0,0,0,0,0,0,1
60,5,simplesmente maravilhoso art gula morumbi park lá várias opções docinhos contar q funcionária super educada atenciosa parabéns,,1,0,0,0,0,6,0,0,0,0,0,0,1
60,5,unidade morumbi park simplesmente maravilhosa opções deliciosas ótimo atendimento moça quiosque certamente voltarei vezes irei conhecer loja experiência maravilhosa,,2,0,0,0,0,6,0,0,0,0,0,0,1
60,5,delícia lugar cardápio super completo porções bem servidas tudo fresquinho bem apresentado equipe simpática educada atenciosa serviço rápido elogios vale visita,,113,44,1,0,0,366,1,0,0,0,0,0,0
60,5,ambiente super aconchegante aceita pet tudo delicioso caprichado atendimento impecável vale pena conhecer,,97,25,148,5,1,3522,1,0,0,0,0,1,0
60,5,null,,0,1,0,0,0,5,0,0,0,0,0,0,1
60,5,null,,0,3,0,0,0,2,0,0,0,0,0,0,1
60,5,colaboradora jessica atendeu salvou pedido emergencia dia pro outro propôs soluções pra ajudar indicou profissionais pro precisava comida deliciosa entrega pontual amei,,10,0,7,1,0,10,0,0,0,0,0,0,0
90,5,null,,8,2,3,0,0,22,0,0,0,0,0,0,1
90,5,doces excelentes ambiente remete histórias infância,,2,1,0,0,0,3,3,0,0,0,0,0,1
120,5,lugar maravilhoso bem lindo ótimo reunir amigas,,41,85,970,3,0,696,0,0,0,0,1,3,0
120,5,null,,11,2,1,0,0,8,5,0,0,0,0,0,0
120,5,null,,0,2,0,0,0,3,0,0,0,0,0,0,1
120,5,bom doce parabens,,6,2,53,0,0,88,0,0,8,0,0,0,0
120,5,null,,46,74,7,0,0,878,1,0,0,0,0,0,0
120,5,null,,1,9,0,0,0,6,0,0,0,0,0,0,1
120,5,casa lindaambiente aconchegantecomi bolo cenoura delicioso caféa dona espaço gláucia super simpáticasuper recomendo,,2,0,0,0,0,3,0,0,0,0,0,0,1
150,5,null,,2,14,0,0,0,11,2,0,0,0,0,0,0
150,5,excelente local,,5,41,1,0,0,412,1,0,2,0,6,0,0
150,5,comida boa gostosa bem feita serviço excepcional atendimento rápido ainda mostraram local todo lindo foto ofereceram tirar linda decoração parabéns voltarei,,91,9,674,122,0,195,0,0,3,0,0,0,0
150,5,local lindo agradavel,,26,2,32,0,0,110,2,0,0,0,0,3,0
180,5,lugar lindo atendimento nota mil comidinha deliciosa vale super conhecer lugar charmosinho,,5,11,14,0,0,9,0,0,0,0,0,0,0
180,5,gente lugar maravilhoso atendimento primeira classeas atendentes maravilhosas conhecendo pra saber quanto maravilhoso lugar nota 100000 parabéns,,2,1,1,0,0,9,0,0,0,0,0,0,1
180,5,fofo instagramavel pedido humanos mini cake brigadeiro hot brownie morango nutella soda italiana framboesa tudo aprovado bem recebida carinho funcionários ganhei água geladinha rende lindas fotos petfriendly,,11,0,51,3,0,28,0,0,0,0,0,0,0
180,5,local extremamente fofo instagramavel pedi mini cake brigadeiro hot brownie morango nutella soda italiana framboesatudo saboroso salgados brunch cardápio rende lindas fotos aceita pet oferece água,,6,0,27,1,0,56,0,0,0,0,0,0,0
180,5,amei experiência local aconchegante familiar gostei pessoa atendeu beatriz simpática atenciosa educada,,22,4,31,1,0,84,0,0,0,0,0,0,0
180,5,null,,3,2,5,0,0,13,1,0,1,0,0,0,0
180,5,null,,2,10,11,0,0,35,3,0,0,0,0,0,0
180,5,null,,0,2,0,0,0,4,0,0,0,0,0,0,1
180,5,atendimento maravilhoso comida gostosa,,5,0,4,3,0,22,0,0,0,0,0,0,0
180,5,lugar pet friendly acesso salões terraço papis mamis degustaram doces amaram precisam voltar provar salgados obrigado receber tia glaucia,,10,0,36,5,0,123,0,0,1,0,0,0,0
180,5,null,,79,19,293,26,0,163,0,0,0,0,0,1,0
180,5,experiência maravilhosa lugar bonito agradável comida saborosa atendimento rápido apresentação ótima recomendo,,137,40,175,1,0,170,5,0,1,0,16,0,0
180,5,lugar sensacional muitas opções comida tanto salgada quanto doce bebidas espaço fofo unico amei super recomendo,,16,7,1,0,0,57,0,0,0,0,1,0,0
180,3,doces maravilhosos deixa desejar atendimento meninas atendem má vontade sorriso rosto atendimento deveria maravilhoso lugar volto,,23,0,1,0,0,6,0,0,0,0,0,0,0
210,5,melhor brigadeiro moema doces maravilhosos atendimento excelente,,2,0,1,0,0,14,0,0,0,0,0,0,0
210,5,null,,6,12,1,0,0,157,0,0,0,0,0,0,0
210,5,além espaço lindo tudo delícia,,309,45,1641,9,1,657,3,0,2,0,0,11,0
210,5,encanto coração moema cafeteiradoceria conto fadas tanto meninas meninos adultos amam qualidade gradiosidade doces custo benefício excelente contar diversão cabine telefônica caixa barbie penteadeira onde podem usar acessórios tirar fotos vários espaços instagramáveis ambiente agradável familiar interativo doces primeiríssima qualidade saborosos fartos parabéns queremos voltar,,258,77,1589,479,1,1458,0,0,0,0,5,10,0
210,5,amei ambiente atendimento maravilhoso,,7,34,14,0,0,416,1,0,0,0,0,1,0
210,5,nāo conhecia bem atendida doces maravilhosos consumi eclair pistache sensacional,,37,10,16,1,0,106,0,0,0,0,0,2,0
210,5,null,,10,53,2,0,0,354,0,0,0,0,1,0,0
240,5,null,,4,19,0,0,0,17,0,0,0,0,0,0,1
240,5,deliciosos doces,,3,109,55,2,0,37,0,0,0,0,0,0,0
270,4,amei tudo organizado adorei panquecas,,14,6,13,0,0,18,0,0,0,0,0,0,0
