tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
3,5,null,,0,1,0,0,0,0,0,0,0,0,0,0,1
7,5,null,,22,25,0,0,0,166,2,0,0,0,0,0,0
7,5,vamos frequência chez mom sempre ficamos satisfeitos boa opção café manhã brunch bolos red velvet devils melhores comemos,,7,2,0,0,0,15,27,0,1,0,0,0,0
7,5,tudo delícia especial pão queijo queijo canastra atendentes uns amores,,9,9,1,0,0,3,0,0,0,0,0,0,1
7,5,adorei experiência café manhãbrunch local funcionários super atenciosos prestativos comida incrível tudo maravilhoso,,2,84,1,0,0,127,0,0,0,0,0,0,0
14,5,excelente comida ingredientes qualidade ótimo serviço preços justos podem pensar musiquinha ambiente amenizar barulhos cozinha espaço mignon nada interfira experiência,,49,1,6,0,0,132,0,0,0,0,0,0,0
14,5,ótimo lugar ótimo menu salgados doces ótimo atendimento preços condizentes sempre posso encomendo bolos fácil estacionar recomendado,,100,11,8,0,1,165,0,0,0,0,0,0,0
14,3,bom,,17,2,14,1,0,90,0,0,0,0,0,0,0
14,5,procurava local encomendar bolo redvelvet comemorar aniversário encontrei chez mom google encomendei olhos fechados surpreendida atenção atendimento sabor bolo lindo delicioso recomendo obrigada,,17,4,16,0,0,35,0,0,2,0,0,0,0
14,5,amamos espaço comida maravilhosa,,1,2,1,0,0,6,0,0,0,0,0,0,1
21,5,comprei biscoitos decorados delivery gostosos atendimento atencioso adaptaram necessidade amei,,6,3,2,0,0,15,0,0,0,0,0,0,1
30,5,serviço bom ágil combinado bem servido comi nada gostado contrário quis ter dois estômagos pra conseguir provar gostei ambiente apresentação pratos geral pretendo voltar breve possível fazer reserva apesar ambiente cheio cheguei gostei possibilidade fazer reserva ocasiões especiais maneira geral adorei experiência,,80,0,208,4,2,492,0,0,3,0,0,6,0
30,5,provei 3 bolos principais casa todos ótimos recebi casa rapidez,,7,16,0,0,0,11,1,0,0,0,0,1,0
30,4,cafeteria bem bonitinha decorada pedi torta devils cake bem gostosa massa poderia úmida recheio perfeito meio amargo nota 4 5 gostei pink limonade atendimento 2 funcionários excelente voltaria certeza segundo andar mesas banheiro devils cake r1990,,101,0,316,118,0,1040,0,0,0,0,1,1,0
30,5,null,,46,100,5,4,0,1365,0,0,0,0,2,0,0
