tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
1,4,null,,7,178,7,0,0,705,14,0,18,0,10,1,0
2,5,null,,27,69,46,0,0,617,0,0,0,0,0,4,0
3,4,null,,594,2396,2249,228,3,13854,35,0,3,0,68,240,0
6,4,null,,10,22,112,0,0,604,0,0,2,0,0,1,0
7,5,null,,33,28,0,0,0,462,0,0,0,0,0,1,0
7,2,sujo mesas sujas chão sujo lugar pequeno espaço apertado mesas próximas umas outras detestei,,14,2,2,0,0,54,0,0,0,0,0,0,0
7,5,null,,9,56,24,0,0,754,2,0,6,0,1,0,0
14,5,lugar agradável limpo,,46,0,0,0,0,250,0,0,0,0,0,0,0
14,5,null,,156,96,20,0,0,1248,1,0,0,0,5,11,0
14,4,null,,3,5,0,0,0,214,0,0,0,0,0,0,0
14,5,melhor lugar ir,,1,0,0,0,0,3,0,0,0,0,0,1,0
14,5,null,,3,1,0,0,0,5,0,0,0,0,0,0,1
21,1,fiz pedido app paguei pix app dando entregador retirando pedido repente mudou status pedido pedido cancelado pix estornado fiquei almoço dinheiro mc donalds,,10,0,1,0,0,6,0,0,0,0,2,0,0
21,5,parte humana cada vez menor pouco carisma sorrisos lembrem comer felicidade quanto vcs sorrirem cliente consome,,86,30,17,1,0,262,2,0,0,0,0,2,0
21,1,péssimo app pedi 3 vezes pedido cancelado justificativa nenhuma fiquei horas esperando nada,,2,0,0,0,0,5,0,0,0,0,0,0,0
21,5,melhores lojas,,32,5,2,0,0,108,0,0,1,0,0,3,0
21,4,null,,0,16,1,0,0,85,0,0,0,0,0,0,0
21,5,atendimento rápido estabelecimento limpo confortável,,5,85,310,3,0,563,0,0,1,0,2,0,0
21,5,ótimo banheiro,,13,46,1,0,0,364,3,0,0,1,0,0,0
21,5,cheionão demora antes pra soltar lanches balcão banheiros sujos entupidos mal cheiro insuportável invade salão cada vez alguem abre porta,,329,596,285,13,0,3498,1,0,1,0,1,20,0
28,1,refrigerante gás quentelanche frio aparentemente pronto tempopéssima experiência,,12,26,0,0,0,6,0,0,0,0,0,2,0
30,1,consegui pedir café manhã cheguei banheiro deplorável aproximar banheiros cheiro urina insuportável chão grudento impressão lavado tempo impossível permanecer local fazer pedido além estômago ter ficado embrulhado mantém limpeza banheiros dirá limpeza restante,,51,0,4,0,0,53,0,0,0,0,0,0,0
30,5,null,,11,8,0,0,0,17,0,0,0,0,0,0,1
30,5,null,,8,37,0,0,0,91,0,0,0,0,2,1,0
30,2,ambiente absurdamente sujo lixo todo lado mesa toda melada,,32,0,0,0,0,36,0,0,0,0,0,0,0
30,4,null,,359,84,6,0,0,58,0,0,0,0,0,0,0
30,3,muita demora pq cheio,,16,2,3,0,0,11,0,0,0,0,0,0,1
30,5,null,,10,131,112,12,0,1648,6,0,1,0,4,0,0
30,5,null,,5,8,0,0,0,19,0,0,0,0,0,0,1
30,5,null,,3,1,0,0,0,8,0,0,0,0,0,0,1
30,5,null,,2,34,0,0,0,63,0,0,0,0,1,0,0
30,4,null,,2,7,0,0,0,3,0,0,0,0,0,0,1
30,5,null,,41,48,4,0,0,220,2,0,0,0,0,0,0
30,5,null,,6,4,0,0,0,0,0,0,0,0,0,0,1
30,5,null,,5,9,0,0,0,51,0,0,0,0,0,0,0
30,5,null,,42,66,7,1,0,352,1,0,0,0,0,2,0
30,1,experiência nesse mc horrível pedi lanche pegando cupon aplicativo lanche veio errado troquei batata grande batata chedder bacon batata veio menos comprado batata pequena tenta resolver atendente veio cheia desculpas tentando justifica além resolver problema recomendo unidade ninguem,,2,0,0,0,0,6,0,0,0,0,0,0,0
30,2,atendimento ok acho falta contratar funcionários parecia funcionários perdidos pedidos,,275,26,6404,233,4,3447,21,0,4,0,14,3,0
30,5,null,,13,15,10,0,0,82,1,0,0,0,0,0,0
30,5,null,,40,39,8,0,0,234,0,0,1,0,1,2,0
30,5,null,,9,17,2,0,0,96,0,1,0,0,0,0,0
30,5,null,,0,3,0,0,0,7,1,0,0,0,0,0,1
60,5,null,,16,189,385,7,0,304,0,0,0,0,2,5,0
60,1,acabei passar drive comprar dois lanches chicken cryspi melt bacon veio maionese alface normalmente vem tá todo errado pedi legend descrição deveria composto pão tipo brioche batata molho cbo saboroso molho emulsionado especiarias derivados lácteos cebola crispy bacon fatias alface americana queijo processado sabor cheddar carne 100 peito frango temperada empanada veio pão brioche veio queijo veio cebola crispy batata marido apelidou palitos sal horror condições muita coisa errada pior gente descobre qdo chega casa sacanagem,,86,25,38,0,0,455,2,0,3,0,0,0,0
