tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
uma semana atrás,1,There is no one to speak or understand english or italian. We tried to order with google translator. They bring three times a wrong food item that we didn't ordered. We waited for than one hour. And finally the owner decided not to serve us. I think the foriegners should avoid this place.,True,118,15,128,14,0,736,0,0,0,0,0,7,0
2 semanas atrás,5,"A melhor pizza que tem na região! O sabor ,os ingredientes,a quantidade e o fato de cortarem em formato de aperitivo, combina mto bem com um happy hour com amigos. O serviço é muito bom.",True,39,11,7,0,0,203,0,0,0,0,0,1,0
2 semanas atrás,4,null,True,1,19,0,0,0,28,0,0,1,0,0,0,1
um mês atrás,5,Lugar confortável e com boa comida. Parte ruim é que tem duas entradas e enquanto comia a comida 2 pessoas que vendiam na rua vieram até nossa mesa pra vender.,True,13,34,12,0,0,39,0,0,0,0,0,0,0
um mês atrás,5,"O estabelecimento oferece um PF/comercial de qualidade, no entanto, os garçons demonstram pressa excessiva, retirando os pratos antes mesmo do término da refeição",True,6,2,1,0,0,16,0,0,1,0,0,0,1
um mês atrás,1,"Hora que foi pedido: 21:25 Previsão de entrega: 21:55 Entrega: 23:16 Obs: quando chegou era motoboy próprio da loja e pediu pra eu fazer pagamento.  Tive que entrar em contato com a loja 2 vezes. Primeira vez: cobrei e iria trazer em 10 min. Segunda vez: depois de meia hora, falou que iria refazer porque era pra ter sido entregue e não tinha recebido nada.  NÃO RECOMENDO!!!",True,14,36,6,0,0,145,0,0,0,0,1,0,0
2 meses atrás,4,null,True,4,10,0,0,0,36,0,0,0,0,0,0,1
2 meses atrás,5,Cliente há anos... Pizza deliciosa e ótima na opção petisco. Vida longa ao Recanto! ❤️,True,14,6,3,0,0,57,0,0,0,0,0,0,0
2 meses atrás,5,Estávamos conversando com a familia e lembramos desta pizzaria. Quando moramos em SP pediamos pizza cada sexta-feira deste restaurante. Fiquei muito feliz de ver que ainda existe! Muito sucesso!,True,88,9,7,1,0,242,1,0,0,0,0,0,0
2 meses atrás,5,"Ótima pizza, ótimo atendimento! Super recomendo o local :)",True,63,300,904,5,0,178,8,0,3,0,0,4,0
2 meses atrás,5,Uma das melhores pizzas que já comi! Atendimento excelente!,True,8,3,0,0,0,35,0,0,0,0,0,0,1
2 meses atrás,4,Pizza de Margueritta deliciosa e um atendimento bem prestativo,True,56,31,102,0,0,619,1,0,0,0,0,0,0
2 meses atrás,5,"Pizza deliciosa, atendimento impecável!",True,8,169,5,1,0,1434,0,0,0,0,0,5,0
3 meses atrás,5,null,True,177,434,188,4,0,209,0,0,0,0,6,32,0
3 meses atrás,5,"Ótimo atendimento, excelente comida com sabor caseiro.",True,6,2,0,0,0,24,0,0,0,0,0,0,0
3 meses atrás,3,null,True,1,35,18,1,0,577,0,0,0,0,0,0,0
4 meses atrás,5,null,True,1,195,0,4,0,1596,0,0,0,0,0,0,0
4 meses atrás,5,null,True,12,50,0,0,0,74,0,0,0,0,1,0,0
5 meses atrás,5,null,True,6,60,2,0,0,44,0,0,0,0,2,0,0
5 meses atrás,5,null,True,64,61,120,1,0,302,0,0,1,0,1,3,0
5 meses atrás,5,null,True,169,418,397,0,0,4668,0,0,0,0,1,17,0
5 meses atrás,4,Bão de mais,True,875,22,71,0,0,278,25,0,1,0,2,21,0
5 meses atrás,5,null,True,15,30,14,0,0,158,6,0,2,0,0,8,0
5 meses atrás,5,null,True,3,5,0,0,0,34,1,0,0,0,0,1,1
5 meses atrás,5,Ótimo lugar para família e amigos curtir momentos com pizzas saborosa.,True,39,4,5,0,0,142,0,0,0,0,0,3,0
6 meses atrás,5,"Atendimento de primeira e uma das melhores pizzas que se pode encontrar, além de manter os preços justos e funcionar até começo da madrugada. Isso tudo ficando perto mas não no meio do agito e barulho da Augusta. Meu bar preferido já a alguns anos.",True,14,120,5,0,0,507,1,0,0,0,1,0,0
6 meses atrás,5,"O local é simples, mas o atendimento e a pizza são fora do comum.",True,12,1,8,6,0,223,0,0,0,0,0,0,0
6 meses atrás,4,null,True,12,13,35,0,0,192,0,0,0,0,0,0,0
6 meses atrás,5,null,True,1,4,0,0,0,25,0,0,0,0,0,0,1
7 meses atrás,5,null,True,1,5,0,0,0,3,0,0,0,0,0,0,1
7 meses atrás,5,null,True,0,17,0,0,0,3,0,0,0,0,0,0,1
7 meses atrás,5,"Excelente local, atendimento, pizza maravilhosa",True,23,8,34,0,0,8,3,0,4,0,0,1,0
7 meses atrás,5,null,False,1,18,6,0,0,9,0,0,0,0,0,0,1
7 meses atrás,5,null,True,294,434,1199,5,0,2975,27,0,7,0,5,37,0
7 meses atrás,5,"Refeição excelente, Parabéns! Atendimento então melhor ainda, o tempero é caseiro que comida gostosa mesmo, amamos,  beijos ❤️❤️",False,3,1,0,0,0,4,0,0,0,0,0,0,0
7 meses atrás,5,null,True,91,44,84,2,0,932,0,0,1,0,5,11,0
7 meses atrás,5,"Comida saborosa, pratos bem servidos e um valor extremamente justo!",True,44,81,286,7,0,894,0,0,0,0,0,4,0
7 meses atrás,5,"A pizzaria de shitake é simplesmente perfeita, cortada em quadradinhos é o petisco ideal para acompanhar as cervejas que sempre estão geladas. O atendimento do pessoal que atende também é excelente.",True,54,13,25,0,1,976,2,0,0,0,0,1,0
7 meses atrás,5,Faça sua experiência,False,1,1,2,1,2,9,0,0,1,0,0,0,1
8 meses atrás,5,null,True,2,20,0,0,0,0,0,0,0,0,0,0,1
8 meses atrás,5,null,True,78,54,57,0,0,381,0,0,1,0,0,0,0
8 meses atrás,5,null,True,10,6,1,0,0,44,0,0,0,0,0,1,0
8 meses atrás,5,null,True,1,3,0,0,0,4,0,0,0,0,0,0,1
8 meses atrás,5,"melhor custo benefício para comer na região da augusta. ambiente de boteco paulistano melhor do que espanhol, pizza melhor do que itália, atendimento melhor do que frança e cerveja mais gelada do que na antártida. frequento lá desde antes de cristo. vale a pena!",True,31,0,21,0,0,107,8,0,0,0,0,0,0
8 meses atrás,5,null,True,23,22,13,0,0,89,0,0,0,0,0,0,0
8 meses atrás,5,null,True,8,33,28,5,0,310,0,0,0,0,4,0,0
8 meses atrás,5,null,True,23,46,320,7,0,26,0,0,0,0,0,1,0
9 meses atrás,5,null,True,25,261,14,2,1,198,0,0,0,0,0,5,0
9 meses atrás,5,null,True,5,115,81,0,0,437,0,0,0,0,7,0,0
9 meses atrás,5,Boteco bom e acessível! Ainda tem um forno a lenha com pizza fresca pra pedir enquanto desfruta de uma cerveja gelada. Nada melhor,True,192,37,477,7,1,902,0,0,0,0,0,1,0
10 meses atrás,5,null,True,6,77,22,0,0,124,6,0,0,0,0,0,0
10 meses atrás,5,Local simples mais impressiona na gastronomia A pizza é surreal bem leve a massa crocante e produtos do recheio de primeiríssima qualidade... Resultado Divino .,False,13,0,52,7,0,6,0,0,0,0,0,0,0
10 meses atrás,4,null,True,160,158,162,0,0,4449,0,0,0,0,1,17,0
10 meses atrás,5,Tudo top eu recomendo,True,33,4,6,0,0,219,0,0,0,0,0,0,0
10 meses atrás,5,Melhor pizza de SP!,False,4,5,0,0,0,17,0,0,0,0,0,0,0
11 meses atrás,5,"Melhor pizza que eu já comi!! Ambiente muito bom, cerveja mega gelada!!",True,25,30,0,0,0,35,0,0,0,0,0,0,0
11 meses atrás,3,null,True,75,289,136,7,0,191,0,0,0,0,11,2,0
11 meses atrás,5,"Muito bom! Cerveja gelada, pizza quente! Garçons muito gente fina!",True,35,4,0,0,0,103,1,0,0,0,0,0,0
11 meses atrás,5,"Um achado em são Paulo, sempre elogiei a pizza paulista e essa faz jus a fama das pizzarias de são Paulo.",False,9,12,1,0,0,25,0,0,0,0,0,0,0
11 meses atrás,5,null,True,12,128,4,1,0,1271,0,0,0,0,1,2,0
11 meses atrás,5,null,True,0,15,0,0,0,54,0,0,1,0,0,0,0
11 meses atrás,5,Amei. A pizza é super gostosa. Ótimo atendimento,True,129,5,13,0,0,1061,0,0,0,0,1,0,0
um ano atrás,4,null,True,63,156,332,13,4,2945,12,0,1,0,16,7,0
